"playerId","playedGames","firstName","lastName","gamesPlayed","goals","behinds","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","rebound50s","goalAssists","goalAccuracy","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","scoreInvolvements","metresGained","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","extendedStats.effectiveKicks","extendedStats.kickEfficiency","extendedStats.kickToHandballRatio","extendedStats.effectiveDisposals","extendedStats.marksOnLead","extendedStats.interceptMarks","extendedStats.contestedPossessionRate","extendedStats.hitoutsToAdvantage","extendedStats.hitoutWinPercentage","extendedStats.hitoutToAdvantageRate","extendedStats.groundBallGets","extendedStats.f50GroundBallGets","extendedStats.scoreLaunches","extendedStats.pressureActs","extendedStats.defHalfPressureActs","extendedStats.spoils","extendedStats.ruckContests","extendedStats.contestDefOneOnOnes","extendedStats.contestDefLosses","extendedStats.contestDefLossPercentage","extendedStats.contestOffOneOnOnes","extendedStats.contestOffWins","extendedStats.contestOffWinsPercentage","team.name","year"
"CD_I1000981",18,"Daniel","Rioli",NA,0.722222222222222,0.333333333333333,4.77777777777778,5.38888888888889,10.1666666666667,2.5,0.444444444444444,3.16666666666667,4.22222222222222,6.27777777777778,10.5,1.72222222222222,0.5,0.277777777777778,0,0.611111111111111,76.6444444444444,1.61111111111111,0.277777777777778,0.555555555555556,35.1888888888889,2.05555555555556,1.33333333333333,1,1.16666666666667,NA,NA,3.5,153.944444444444,0.0555555555555556,0.111111111111111,0.166666666666667,3.27777777777778,71.4888888888889,1.23888888888889,7.83333333333333,0.444444444444444,0.222222222222222,40.3944444444444,0,0,0,3.05555555555556,0.722222222222222,0.333333333333333,15.4444444444444,4.88888888888889,0.444444444444444,0,0.0555555555555556,0.0555555555555556,5.55555555555556,0.777777777777778,0.222222222222222,11.1111111111111,"Richmond",2016
"CD_I1001028",8,"Jack","Silvagni",NA,0.875,0.875,6.625,2.875,9.5,3.25,0.125,3.125,4.125,5.625,9.75,2.375,1.125,0.625,0,0.375,58.075,1.375,0.25,0.375,40.625,2.125,0.625,0.75,2,NA,NA,4.25,143.875,0,0.375,0.375,3.25,56.55,2.7625,5.25,0.375,0,43.4375,0,0,0,2.375,1.125,0.125,14.5,3.5,0,0,0,0,0,2,0.5,18.75,"Carlton",2016
"CD_I1001398",3,"Matthew","Kennedy",NA,1,0.333333333333333,4,5.66666666666667,9.66666666666667,2,0.333333333333333,1.66666666666667,3,6.33333333333333,9.33333333333333,1,0,0.333333333333333,0,1,85.6,1,0.333333333333333,0.666666666666667,33.3333333333333,1.33333333333333,0.333333333333333,0.666666666666667,1.33333333333333,NA,NA,3.33333333333333,107.666666666667,0,0,0,3,69.4333333333333,0.733333333333333,8.33333333333333,0,0.333333333333333,34.2666666666667,0,0,0,2.33333333333333,1.33333333333333,0,11,2.33333333333333,1,0,0,0,0,1.33333333333333,0,0,"GWS Giants",2016
"CD_I1001448",5,"Rupert","Wills",NA,0.2,0.2,7.4,10.2,17.6,2.8,0,8.6,7.4,11.2,18.6,3,0.2,0,0,1,81.86,2.2,0.8,1,20,2.8,2.4,1,0.4,NA,NA,5,230.8,0.6,1.6,2.2,5.6,74.56,0.78,14.4,0,0.4,39.2,0,0,0,5.6,0.4,1.4,20.2,8.8,0.4,0,0,0,0,0,0,0,"Collingwood",2016
"CD_I200032",18,"Matthew","Pavlich",NA,1.72222222222222,1.38888888888889,8.44444444444444,5.22222222222222,13.6666666666667,4.77777777777778,0.111111111111111,3.16666666666667,6.22222222222222,7.33333333333333,13.5555555555556,2.22222222222222,1.72222222222222,1.44444444444444,0.222222222222222,1.38888888888889,66.9111111111111,1.61111111111111,0.166666666666667,0.777777777777778,49.9111111111111,2.33333333333333,0.722222222222222,1.77777777777778,3.44444444444444,NA,NA,6.11111111111111,206,0.111111111111111,0.277777777777778,0.388888888888889,5.11111111111111,59.2388888888889,1.95555555555556,9.11111111111111,1.5,0.111111111111111,44.5388888888889,0.0555555555555556,0,5.55555555555556,3.61111111111111,2.11111111111111,0.444444444444444,10.2777777777778,2.33333333333333,1,0,0.0555555555555556,0,0,4.66666666666667,0.944444444444444,20.8166666666667,"Fremantle",2016
"CD_I200035",23,"Corey","Enright",NA,0.173913043478261,0.0869565217391304,14,9.56521739130435,23.5652173913043,5.65217391304348,0.130434782608696,2.8695652173913,7.43478260869565,15.5652173913043,23,1.26086956521739,0.130434782608696,0.260869565217391,0.0434782608695652,3.08695652173913,77.2478260869565,2.78260869565217,3.52173913043478,0.304347826086957,15.2173913043478,3.78260869565217,7.26086956521739,0.0434782608695652,0.304347826086957,NA,NA,5,349.565217391304,0.173913043478261,1,1.17391304347826,10.4090909090909,75.3045454545455,1.68181818181818,18.3181818181818,0.0454545454545455,1.63636363636364,31.7818181818182,0,0,0,6.09090909090909,0.181818181818182,1.90909090909091,11.2727272727273,7.22727272727273,2.36363636363636,0,1.22727272727273,0.318181818181818,15.9045454545455,0.0454545454545455,0.0454545454545455,4.54545454545455,"Geelong Cats",2016
"CD_I200083",3,"Robert","Murphy",NA,0,0.333333333333333,18.3333333333333,9.66666666666667,28,6.33333333333333,3.33333333333333,2,4.33333333333333,22.3333333333333,26.6666666666667,3.66666666666667,0,0,0,2.33333333333333,81.6,1,3,0,0,2.33333333333333,3.66666666666667,0,0.333333333333333,NA,NA,6.33333333333333,520.333333333333,0.333333333333333,0.333333333333333,0.666666666666667,14.6666666666667,80.4,2.1,23,0.333333333333333,0.333333333333333,16.5333333333333,0,0,0,4,0,1.33333333333333,5.33333333333333,2,2,0,0.666666666666667,0.666666666666667,33.3333333333333,0.333333333333333,0.333333333333333,33.3333333333333,"Western Bulldogs",2016
"CD_I210001",21,"Nick","Riewoldt",NA,1.95238095238095,1.14285714285714,14.2857142857143,6.47619047619048,20.7619047619048,10.5714285714286,0,1.9047619047619,5.33333333333333,15.8571428571429,21.1904761904762,3.66666666666667,2.57142857142857,1.61904761904762,2.76190476190476,1.42857142857143,74.9952380952381,2.28571428571429,1.38095238095238,0.476190476190476,51.2666666666667,3.66666666666667,1.95238095238095,0.619047619047619,3.42857142857143,NA,NA,7.19047619047619,321,0.0952380952380952,0.523809523809524,0.619047619047619,9.71428571428571,68.8380952380952,2.92857142857143,15.4285714285714,3,0.857142857142857,24.3952380952381,0.666666666666667,9.52380952380952,17.0285714285714,2.9047619047619,0.952380952380952,0.571428571428571,9.61904761904762,3.33333333333333,1,0.142857142857143,0.19047619047619,0.142857142857143,14.2857142857143,2.0952380952381,0.666666666666667,26.4380952380952,"St Kilda",2016
"CD_I210012",24,"Shaun","Burgoyne",NA,0.625,0.5,10.9166666666667,9,19.9166666666667,3.875,0.208333333333333,5.58333333333333,8.20833333333333,10.9583333333333,19.1666666666667,3.58333333333333,0.333333333333333,0.208333333333333,0,2.33333333333333,78.7541666666667,2.33333333333333,1.79166666666667,0.416666666666667,36.8083333333333,3.45833333333333,4.20833333333333,0.791666666666667,1.125,NA,NA,5.08333333333333,325.833333333333,1.20833333333333,2,3.20833333333333,8.08333333333333,74.1625,1.32083333333333,15.6666666666667,0.208333333333333,0.666666666666667,43.2625,0,0,0,5.54166666666667,0.625,1.45833333333333,19.4166666666667,8.70833333333333,1.125,0,0.958333333333333,0.208333333333333,12.5,0.166666666666667,0,0,"Hawthorn",2016
"CD_I210016",22,"Scott","Thompson",NA,0.181818181818182,0.136363636363636,11.6818181818182,12.3181818181818,24,3.27272727272727,0,7.18181818181818,10.8636363636364,12.8636363636364,23.7272727272727,3.68181818181818,0.136363636363636,0.136363636363636,0.136363636363636,0.636363636363636,65.3909090909091,3.72727272727273,0.681818181818182,0.409090909090909,9.85,4.77272727272727,2.36363636363636,1.31818181818182,0.590909090909091,NA,NA,5.77272727272727,280.863636363636,2.36363636363636,3.5,5.86363636363636,6.33333333333333,53.3428571428571,1.06666666666667,16.1428571428571,0,0.19047619047619,46.0333333333333,0.0476190476190476,4.76190476190476,4.76190476190476,7.19047619047619,0.80952380952381,1.71428571428571,20.8095238095238,8.23809523809524,0.142857142857143,0.142857142857143,0.0952380952380952,0,0,0.0952380952380952,0.0476190476190476,4.76190476190476,"Adelaide Crows",2016
