"playerId","playedGames","firstName","lastName","gamesPlayed","goals","behinds","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","rebound50s","goalAssists","goalAccuracy","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","scoreInvolvements","metresGained","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","extendedStats.effectiveKicks","extendedStats.kickEfficiency","extendedStats.kickToHandballRatio","extendedStats.effectiveDisposals","extendedStats.marksOnLead","extendedStats.interceptMarks","extendedStats.contestedPossessionRate","extendedStats.hitoutsToAdvantage","extendedStats.hitoutWinPercentage","extendedStats.hitoutToAdvantageRate","extendedStats.groundBallGets","extendedStats.f50GroundBallGets","extendedStats.scoreLaunches","extendedStats.pressureActs","extendedStats.defHalfPressureActs","extendedStats.spoils","extendedStats.ruckContests","extendedStats.contestDefOneOnOnes","extendedStats.contestDefLosses","extendedStats.contestDefLossPercentage","extendedStats.contestOffOneOnOnes","extendedStats.contestOffWins","extendedStats.contestOffWinsPercentage","team.name","year"
"CD_I1000953",2,"Harry","McKay",NA,1.5,1,5.5,2,7.5,3.5,0,0.5,4,3.5,7.5,2,2,1.5,0,1.5,69.3,0.5,0,1,66.65,2,0,0,2.5,NA,NA,4.5,148,0,0,0,4,81.25,2.85,5,1,0,44.3,0,0,0,2,1.5,0,6.5,1,1.5,0,0,0,0,2.5,1.5,30,"Carlton",2017
"CD_I1000959",3,"James","Cousins",NA,0.333333333333333,0,7.33333333333333,5.66666666666667,13,1.66666666666667,0,4.33333333333333,5,8.66666666666667,13.6666666666667,1.33333333333333,0,0,0,0.333333333333333,71.5,2,1,0.333333333333333,33.3333333333333,3.66666666666667,2,0.333333333333333,0.666666666666667,NA,NA,2.66666666666667,185.666666666667,0.333333333333333,0.333333333333333,0.666666666666667,4.33333333333333,57.1333333333333,2.2,9.33333333333333,0.333333333333333,0,36.7666666666667,0,0,0,4,1.66666666666667,0.333333333333333,21.3333333333333,10.3333333333333,0,0,0,0,0,0,0,0,"Hawthorn",2017
"CD_I1000963",1,"Harry","Morrison",NA,0,1,10,11,21,6,0,1,4,18,22,3,1,0,0,2,76.2,2,1,2,0,2,1,0,2,NA,NA,8,269,0,2,2,5,50,0.9,16,0,1,18.2,0,0,0,4,2,2,12,6,0,0,0,0,0,1,0,0,"Hawthorn",2017
"CD_I1000978",18,"Hugh","McCluggage",NA,0.444444444444444,0.833333333333333,8.44444444444444,6.66666666666667,15.1111111111111,3.88888888888889,0.222222222222222,2,4.16666666666667,10.9444444444444,15.1111111111111,1.94444444444444,0.388888888888889,0.166666666666667,0,0.722222222222222,63.8111111111111,2.5,1,0.388888888888889,28.7,3.22222222222222,1.33333333333333,0.333333333333333,1.44444444444444,NA,NA,4.77777777777778,243.5,0.222222222222222,0.722222222222222,0.944444444444444,4.83333333333333,53.8555555555556,1.37777777777778,9.83333333333333,0.444444444444444,0.222222222222222,27.8111111111111,0,0,0,3.05555555555556,0.833333333333333,0.666666666666667,14.3333333333333,7.22222222222222,0.388888888888889,0,0,0,0,0.833333333333333,0.166666666666667,4.81666666666667,"Brisbane Lions",2017
"CD_I1000981",25,"Daniel","Rioli",NA,1,0.52,5.76,5.08,10.84,2.76,0.28,3.4,4.48,6.8,11.28,2.48,0.84,0.36,0,1.4,69.748,1.84,0.08,0.56,50.332,1.96,1.32,1.32,1.8,NA,NA,4.64,173,0.08,0.32,0.4,3.72,62.492,1.388,7.68,0.52,0.2,39.264,0,0,0,3,1.28,0.4,17.96,3.84,0.68,0.08,0.12,0.04,4,1.4,0.52,25.332,"Richmond",2017
"CD_I1001017",2,"Nick","Larkey",NA,0,0,1,2,3,0.5,0,0.5,1,2,3,0.5,0.5,0,1,0.5,25,2,0,0,0,2,0,0,0.5,NA,NA,1,18,0,0,0,0.5,25,0.25,1.5,0,0,16.65,0,20,0,1,1,0,10.5,0.5,0.5,2.5,0,0,0,1.5,0,0,"North Melbourne",2017
"CD_I1001028",20,"Jack","Silvagni",NA,0.95,0.85,7.2,2.85,10.05,4.5,0.3,2.55,3.1,6.85,9.95,1.7,1.15,0.4,0,1.05,63.49,1.6,0.25,0.3,38.75,2.15,1.25,0.9,2.1,NA,NA,3.4,176.75,0.05,0.05,0.1,4.3,59.465,3.345,6.5,1.5,0.2,29.935,0,0,0,2.1,1.15,0.3,12.6,3.7,0.75,0,0.1,0,0,1.7,0.25,14.75,"Carlton",2017
"CD_I1001398",16,"Matthew","Kennedy",NA,0.25,0.25,7.4375,9.75,17.1875,3.25,0.125,4.5625,7.625,9.875,17.5,2,0.375,0.375,0,0.9375,67.86875,2.5625,1.3125,0.1875,18.75,3.0625,2,0.5625,0.5625,NA,NA,3.3125,180.125,0.5,2.1875,2.6875,3.6875,47.725,0.9125,11.6875,0,0.3125,43.69375,0,0,0,6.0625,1.4375,0.8125,16.75,6.625,0.5,0,0.0625,0,0,0.25,0.0625,6.25,"GWS Giants",2017
"CD_I1001448",1,"Rupert","Wills",NA,0,1,7,8,15,2,0,5,5,10,15,3,0,0,0,0,73.3,3,0,0,0,2,0,0,1,NA,NA,3,172,1,3,4,4,57.1,0.9,11,0,0,33.3,0,0,0,4,0,0,19,13,0,3,0,0,0,0,0,0,"Collingwood",2017
"CD_I1001449",20,"Mitch","Hannan",NA,1.1,0.5,6.9,5.5,12.4,2.45,0.1,3.05,5.85,6.7,12.55,2.6,0.75,0.65,0,0.9,62.57,2.8,0.2,0.55,51.835,3.15,1.8,1.2,1.9,NA,NA,4.2,205.85,0.45,0.7,1.15,3.85,50.345,1.5,7.95,0.45,0.1,46.33,0,0,0,3.95,1.35,0.75,13.35,4.35,0.3,0,0.1,0.05,2.5,0.85,0.4,21.25,"Melbourne",2017
"CD_I1001573",5,"Max","Spencer",NA,0,0,8,7.2,15.2,6,0,0.6,6,9.4,15.4,0.2,0.2,0.2,0,3.2,74.84,1.6,1.4,0,0,2.2,5,0,0,NA,NA,1.4,124.8,0,0.6,0.6,5.8,69.88,1.44,11.2,0,0.6,38.38,0,0,0,5,0,0.6,7.6,6.2,2.8,0,2.8,1,46.66,0,0,0,"Gold Coast Suns",2017
"CD_I1002143",1,"Ben","McKay",NA,0,0,2,7,9,1,0,3,3,6,9,0,0,0,3,1,77.8,1,0,0,0,2,1,0,0,NA,NA,1,44,1,0,1,1,50,0.3,7,0,0,33.3,2,25,66.7,2,0,1,5,4,1,12,1,0,0,0,0,0,"North Melbourne",2017
"CD_I1002770",5,"Callum","Brown",NA,0.2,0.2,3.6,10,13.6,2.2,0.6,2.2,7.2,7.4,14.6,1.6,0.2,0,0,0.8,77.46,0.8,0,0,20,0.8,1.8,0.2,0.6,NA,NA,4.4,59,0.2,1.6,1.8,2,59,0.38,10.2,0,0,49.28,0,0,0,5.8,0.4,0.8,20.8,9.4,0.2,0,0,0,0,0.6,0.4,30,"Collingwood",2017
"CD_I1003130",1,"Patrick","Lipinski",NA,0,3,6,12,18,4,0,1,4,14,18,1,1,0,0,1,66.7,1,0,0,0,1,2,1,3,NA,NA,6,146,0,0,0,2,33.3,0.5,12,0,0,22.2,0,0,0,4,2,1,16,4,1,0,0,0,0,0,0,0,"Western Bulldogs",2017
"CD_I1003546",3,"Joel","Smith",NA,0,0,4,4.66666666666667,8.66666666666667,0.666666666666667,0,2.66666666666667,2.33333333333333,6.33333333333333,8.66666666666667,0,0,0.333333333333333,0,2.33333333333333,70,2.33333333333333,1.33333333333333,0,0,2,2.66666666666667,0.333333333333333,0,NA,NA,1,96.6666666666667,0,0,0,2,47.7666666666667,1,6.33333333333333,0,0.333333333333333,33.0333333333333,0,0,0,1.33333333333333,0,0.333333333333333,10.3333333333333,4.66666666666667,2,0,1,0.666666666666667,33.3333333333333,0,0,0,"Melbourne",2017
"CD_I1003547",6,"Conor","Glass",NA,0,0,7.5,5.16666666666667,12.6666666666667,3.33333333333333,0.166666666666667,2.83333333333333,4,8.5,12.5,1.16666666666667,0.166666666666667,0.333333333333333,0,2.5,84.3666666666667,1,1.16666666666667,0,0,1.5,4.33333333333333,0,0.166666666666667,NA,NA,1.83333333333333,103.5,0,0.333333333333333,0.333333333333333,5.83333333333333,76.3166666666667,1.5,10.6666666666667,0.166666666666667,1.16666666666667,31.9333333333333,0,0,0,2.33333333333333,0,0.5,13.3333333333333,9.66666666666667,1.16666666666667,0,1.16666666666667,0.166666666666667,16.6666666666667,0,0,0,"Hawthorn",2017
"CD_I1004592",2,"Tim","English",NA,0,0,0.5,6.5,7,1,0,3,1.5,6,7.5,0,0,0,5.5,2.5,78.55,0,1.5,0,0,0,1.5,1,0,NA,NA,1.5,40,0,0,0,0.5,50,0.1,5.5,0,0,20.55,1,16.05,22.9,1.5,0,0.5,11,3,2.5,34,0,0,0,1,0.5,50,"Western Bulldogs",2017
"CD_I1004870",9,"Zach","Guthrie",NA,0,0.111111111111111,4.33333333333333,6.33333333333333,10.6666666666667,3.11111111111111,0,2.11111111111111,3.88888888888889,7.11111111111111,11,0.888888888888889,0.222222222222222,0.444444444444444,0,1.33333333333333,80.4888888888889,1.11111111111111,0.888888888888889,0.111111111111111,0,1.55555555555556,3.66666666666667,0,0.333333333333333,NA,NA,2.33333333333333,98,0,0.333333333333333,0.333333333333333,2.88888888888889,61.6666666666667,0.911111111111111,8.33333333333333,0,1.22222222222222,35.3111111111111,0,0,0,3,0.111111111111111,0.777777777777778,8.88888888888889,6.22222222222222,1.22222222222222,0,0.666666666666667,0.222222222222222,14.8111111111111,0,0,0,"Geelong Cats",2017
"CD_I1004940",5,"Sam","Simpson",NA,0.4,0.2,5.2,6,11.2,2.4,0,1,3.8,7.4,11.2,1.4,0.6,0,0,0.4,74.52,1,0.4,0,40,1.8,1.8,0,0.6,NA,NA,2.6,95.8,0.2,0.2,0.4,3.4,69.26,0.94,8.2,0.8,0,34.34,0,0,0,3.6,0.6,0.2,15.4,5.4,0.2,0,0.2,0.2,20,0.4,0.2,20,"Geelong Cats",2017
