"playerId","playedGames","firstName","lastName","gamesPlayed","goals","behinds","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","rebound50s","goalAssists","goalAccuracy","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","scoreInvolvements","metresGained","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","extendedStats.effectiveKicks","extendedStats.kickEfficiency","extendedStats.kickToHandballRatio","extendedStats.effectiveDisposals","extendedStats.marksOnLead","extendedStats.interceptMarks","extendedStats.contestedPossessionRate","extendedStats.hitoutsToAdvantage","extendedStats.hitoutWinPercentage","extendedStats.hitoutToAdvantageRate","extendedStats.groundBallGets","extendedStats.f50GroundBallGets","extendedStats.scoreLaunches","extendedStats.pressureActs","extendedStats.defHalfPressureActs","extendedStats.spoils","extendedStats.ruckContests","extendedStats.contestDefOneOnOnes","extendedStats.contestDefLosses","extendedStats.contestDefLossPercentage","extendedStats.contestOffOneOnOnes","extendedStats.contestOffWins","extendedStats.contestOffWinsPercentage","team.name","year"
"CD_I1000072",17,"John","Noble",NA,0.117647058823529,0,9.47058823529412,6.82352941176471,16.2941176470588,3.23529411764706,0.235294117647059,1.70588235294118,3.58823529411765,12.5294117647059,16.1176470588235,1.23529411764706,0,0,0,0.882352941176471,76.0294117647059,2.29411764705882,2.41176470588235,0.0588235294117647,11.7647058823529,3.35294117647059,3.64705882352941,0.0588235294117647,0.117647058823529,NA,NA,1.82352941176471,217.235294117647,0.0588235294117647,0.294117647058824,0.352941176470588,6.76470588235294,69.5647058823529,1.68823529411765,12.8235294117647,0.117647058823529,0.588235294117647,23.2588235294118,0,0,0,3.05882352941176,0.0588235294117647,0.470588235294118,9.17647058823529,6.52941176470588,0.647058823529412,0,0.235294117647059,0.117647058823529,11.7647058823529,0,0,0,"Collingwood",2020
"CD_I1000223",20,"Liam","Baker",NA,0.05,0.05,8.3,6.55,14.85,3.65,0.15,1.95,5.7,9.15,14.85,1.35,0,0.05,0,2,73.735,1.95,2.7,0.2,5,2.8,5.65,0.1,0.1,NA,NA,2.25,223.35,0.05,0.45,0.5,5.8,70.51,1.595,10.9,0.05,0.95,39.08,0,0,0,4.5,0,1.25,9.2,6.05,1.35,0,0.8,0.25,16.665,0,0,0,"Richmond",2020
"CD_I1000267",2,"Matthew","Parker",NA,0,1,4,2.5,6.5,0.5,0,2.5,3.5,3,6.5,1.5,0,0,0,1,60.7,2,0,1,0,1.5,2,1,1.5,NA,NA,2,64,0,0,0,2,46.65,1.75,4,0.5,0,51.2,0,0,0,2.5,1,0.5,14,3.5,0.5,0.5,0,0,0,0.5,0,0,"St Kilda",2020
"CD_I1000860",17,"Lachie","Schultz",NA,0.705882352941177,0.411764705882353,6.41176470588235,3.52941176470588,9.94117647058824,3.58823529411765,0,2.47058823529412,3.76470588235294,6.35294117647059,10.1176470588235,1.64705882352941,1,0.235294117647059,0,0.470588235294118,58.7294117647059,2.64705882352941,0.294117647058824,0.294117647058824,29.9,3.17647058823529,0.941176470588235,0.941176470588235,1.52941176470588,NA,NA,2.64705882352941,172.588235294118,0,0.294117647058824,0.294117647058824,3.35294117647059,50.5117647058823,2.33529411764706,6,0.588235294117647,0.0588235294117647,37.3705882352941,0,0,0,2.47058823529412,1,0.176470588235294,12.8235294117647,3.88235294117647,0.176470588235294,0,0,0,0,0.647058823529412,0,0,"Fremantle",2020
"CD_I1000887",8,"Mitch","Lewis",NA,0.625,0.625,3.5,2.25,5.75,1.875,0,0.625,2.875,3.5,6.375,1,0.625,0.375,2,1,60.4875,1.125,0,0.25,29.1625,1.25,0.625,0.375,1.625,NA,NA,2.625,87.375,0.125,0,0.125,2.125,51.05,1.525,4.125,0.25,0.125,45.9875,0.5,23.05,16.25,1.625,0.875,0.375,7.75,1.25,0.5,7.125,0,0,0,2.25,0.375,16.6625,"Hawthorn",2020
"CD_I1000905",5,"Tom","Murphy",NA,0.2,0.4,5.6,3.8,9.4,3.2,0.2,1.6,3,6.4,9.4,2,0.4,0.2,0,0.4,76.2,1.8,1.2,0,20,2.6,1.2,0,0.6,NA,NA,1.4,199.8,0,0.2,0.2,4,71,2.84,7.2,0,0,31.76,0,0,0,2.4,0.6,0,9.6,5.2,0,0,0.2,0.2,20,0.2,0.2,20,"North Melbourne",2020
"CD_I1000908",5,"Myles","Poholke",NA,0.4,0.2,5.8,4.6,10.4,3,0.4,2.4,4.6,6.2,10.8,1.6,0.6,0.2,0,1,62.3,2.2,0.4,0.4,40,3.2,1,0,0.6,NA,NA,2.8,174.4,0.2,1.2,1.4,2.8,46.96,1.44,6.4,0.2,0.2,42.42,0,0,0,3.4,0.8,0.4,12.2,6,0.4,0,0,0,0,0.6,0,0,"Adelaide Crows",2020
"CD_I1000932",9,"Tom","Doedee",NA,0,0,8.33333333333333,5.88888888888889,14.2222222222222,5.22222222222222,0.222222222222222,1.77777777777778,4.88888888888889,8.22222222222222,13.1111111111111,0.555555555555556,0.111111111111111,1.22222222222222,0,3.66666666666667,79.8777777777778,1.77777777777778,3.44444444444444,0,0,2.77777777777778,6.88888888888889,0,0.111111111111111,NA,NA,1.55555555555556,222.666666666667,0,0.333333333333333,0.333333333333333,6.66666666666667,73.0888888888889,2.22222222222222,11.7777777777778,0,2.77777777777778,37.9,0,0,0,3,0,0.777777777777778,8.44444444444444,6.77777777777778,3.22222222222222,0,2.55555555555556,0.777777777777778,24.4777777777778,0,0,0,"Adelaide Crows",2020
"CD_I1000937",21,"Jack","Henry",NA,0.0476190476190476,0,7.47619047619048,2.28571428571429,9.76190476190476,3.9047619047619,0.0952380952380952,1.71428571428571,3.76190476190476,6.33333333333333,10.0952380952381,0.904761904761905,0.0952380952380952,0.380952380952381,0,4.47619047619048,76.4571428571429,2.04761904761905,2.23809523809524,0.0952380952380952,4.76190476190476,2.38095238095238,4,0.0952380952380952,0.0952380952380952,NA,NA,1.76190476190476,151.333333333333,0,0.285714285714286,0.285714285714286,5.42857142857143,72.8095238095238,2.96190476190476,7.33333333333333,0.142857142857143,1.04761904761905,37.8857142857143,0,0,0,3.04761904761905,0,0.714285714285714,6.95238095238095,5.23809523809524,4.09523809523809,0,1.85714285714286,0.238095238095238,13.2238095238095,0.0952380952380952,0,0,"Geelong Cats",2020
"CD_I1000953",13,"Harry","McKay",NA,1.61538461538462,1.15384615384615,5.84615384615385,1.61538461538462,7.46153846153846,4.38461538461539,0.153846153846154,1.53846153846154,4.23076923076923,3.46153846153846,7.69230769230769,1.07692307692308,2.46153846153846,1.69230769230769,0,1.30769230769231,54.6692307692308,2.76923076923077,0.0769230769230769,0.0769230769230769,38.9769230769231,2.69230769230769,0.769230769230769,0.846153846153846,3.76923076923077,NA,NA,3.61538461538462,166.538461538462,0,0,0,3,54.2769230769231,3.98461538461538,3.92307692307692,1.30769230769231,0,57.2538461538462,0,0,0,1.53846153846154,0.923076923076923,0.153846153846154,6.46153846153846,1.07692307692308,0.923076923076923,0,0,0,0,2.46153846153846,0.461538461538462,10.5076923076923,"Carlton",2020
