Name,Team,Games Played,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Inside 50s,Goal Assists,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency,Clangers,Contested Marks,Marks Inside 50,Clearances,Centre Clearances,Stoppage Clearances,Rebound 50s,One Percenters,Bounces,Metres Gained,Score Involvements,Turnovers,Intercepts,Tackles Inside 50,Time On Ground
Daniel Rich,Brisbane,24,21.42,4.58,26.0,5.71,0.12,0.42,1.75,0.0,2.88,0.17,5.42,15.0,20.5,78.85,2.71,0.33,0.0,1.04,0.12,0.92,7.92,2.29,0.0,630.5,3.88,5.75,5.92,0.0,83.0
Aaron Hall,North Melbourne,20,21.15,6.75,27.9,7.5,0.1,0.3,2.2,0.0,2.85,0.4,4.05,19.45,21.15,75.81,3.25,0.2,0.15,0.5,0.0,0.5,7.35,1.35,0.85,637.35,4.45,5.2,4.1,0.05,77.65
Jack Ziebell,North Melbourne,21,20.29,4.95,25.24,7.38,0.1,0.0,1.95,0.0,0.9,0.05,5.1,13.38,21.0,83.2,2.76,0.71,0.0,0.38,0.0,0.38,7.24,3.19,0.24,476.43,2.52,4.81,6.52,0.0,84.57
Thomas Stewart,Geelong,20,18.9,5.1,24.0,8.9,0.0,0.15,1.05,0.0,1.75,0.2,5.75,14.9,20.35,84.79,2.25,1.2,0.0,0.3,0.0,0.3,6.1,3.65,0.4,487.7,3.8,3.1,7.75,0.0,85.3
Jayden Short,Richmond,22,18.68,5.95,24.64,6.09,0.05,0.09,1.77,0.0,2.27,0.09,3.86,16.5,20.0,81.17,2.64,0.05,0.0,0.5,0.05,0.45,6.86,1.59,1.36,546.05,3.14,4.86,4.41,0.0,86.05
Alex Witherden,West Coast,9,18.44,3.78,22.22,6.56,0.11,0.0,2.0,0.0,1.33,0.0,3.89,12.56,17.22,77.5,3.0,0.11,0.0,0.33,0.0,0.33,6.33,1.56,0.56,464.89,3.22,3.89,5.22,0.0,82.44
Jake Lloyd,Sydney,22,18.36,9.55,27.91,5.68,0.05,0.05,1.82,0.0,1.82,0.23,4.0,17.95,24.45,87.6,2.32,0.14,0.05,0.36,0.09,0.27,6.55,2.23,1.18,468.09,4.41,3.41,5.5,0.05,85.18
Sam Docherty,Carlton,14,18.0,6.29,24.29,7.64,0.0,0.0,2.21,0.0,2.14,0.21,5.93,16.64,19.5,80.28,2.64,0.43,0.0,1.43,0.21,1.21,5.5,2.07,0.5,493.57,4.14,4.14,5.79,0.14,86.71
Luke Ryan,Fremantle,19,17.47,4.32,21.79,7.16,0.0,0.0,1.79,0.0,0.84,0.05,4.58,12.42,18.63,85.5,2.37,0.58,0.0,0.26,0.0,0.26,7.95,3.89,0.58,508.79,2.26,4.0,6.63,0.05,88.37
Jack Lukosius,Gold Coast,22,17.36,2.73,20.09,7.82,0.14,0.5,1.45,0.0,4.0,0.41,3.64,13.64,14.77,73.52,3.27,0.55,0.36,0.32,0.09,0.23,5.82,1.95,0.45,619.95,4.36,5.36,3.95,0.05,84.82
Shannon Hurn,West Coast,15,17.33,4.47,21.8,6.87,0.0,0.0,1.67,0.0,1.6,0.13,4.2,11.53,19.13,87.75,1.87,0.87,0.0,0.2,0.0,0.2,6.0,1.67,0.47,465.4,3.0,3.47,6.47,0.0,70.27
Bailey Dale,Western Bulldogs,26,17.19,6.77,23.96,3.88,0.35,0.0,1.0,0.0,2.58,0.38,5.08,13.85,19.04,79.47,2.5,0.35,0.08,0.96,0.04,0.92,5.69,2.27,1.69,520.96,4.08,3.81,5.23,0.04,81.92
Hugh McCluggage,Brisbane,24,16.96,8.04,25.0,5.12,0.62,0.92,3.71,0.0,4.5,1.29,8.88,16.04,15.96,63.84,3.67,0.12,0.88,3.54,0.96,2.58,2.29,0.54,0.29,443.67,6.54,5.17,2.83,0.62,82.62
Christian Salem,Melbourne,24,16.88,8.46,25.33,6.04,0.12,0.08,2.42,0.0,2.5,0.33,5.71,17.42,19.54,77.14,2.67,0.17,0.04,1.0,0.25,0.75,5.71,1.29,0.5,431.96,3.92,4.54,6.08,0.08,86.46
Dayne Zorko,Brisbane,23,16.78,7.35,24.13,5.3,0.74,0.78,6.09,0.0,6.43,1.0,9.57,13.61,16.17,67.01,4.7,0.04,0.48,4.52,1.96,2.57,1.83,1.74,0.13,501.26,7.7,5.22,4.17,1.09,82.61
Jackson Macrae,Western Bulldogs,26,16.73,17.15,33.88,3.92,0.23,0.15,4.92,0.04,5.19,1.04,13.38,21.0,25.27,74.59,3.42,0.12,0.15,6.81,2.85,3.96,2.0,1.08,0.08,462.35,7.0,5.08,3.31,0.5,82.85
Lachie Whitfield,GWS,17,16.65,8.35,25.0,6.29,0.18,0.06,2.41,0.0,2.65,0.53,5.71,17.47,18.65,74.6,3.35,0.12,0.24,1.47,0.29,1.18,3.82,1.71,0.94,437.65,4.53,4.94,3.53,0.18,81.88
Nick Hind,Essendon,22,16.59,5.77,22.36,5.18,0.18,0.09,2.05,0.0,3.27,0.59,5.82,16.5,17.73,79.29,2.95,0.27,0.09,0.86,0.18,0.68,3.68,1.73,1.82,426.05,4.45,3.55,5.64,0.0,83.68
Jarryd Lyons,Brisbane,24,16.46,11.62,28.08,4.92,0.42,0.29,6.42,0.0,4.58,0.75,13.62,13.92,18.54,66.03,3.29,0.33,0.54,6.21,2.12,4.08,1.33,1.04,0.04,400.38,6.08,4.38,4.08,1.21,80.38
Christian Petracca,Melbourne,25,16.36,12.84,29.2,5.04,1.16,0.76,4.12,0.0,6.84,0.76,13.96,15.24,18.08,61.92,5.0,0.32,0.92,6.32,2.8,3.52,1.28,0.8,0.12,539.92,8.32,6.2,1.96,0.52,89.48
Andrew Gaff,West Coast,21,16.33,11.14,27.48,6.62,0.14,0.05,1.67,0.0,3.71,0.57,7.33,20.05,21.14,76.93,3.1,0.24,0.14,2.9,0.71,2.19,1.81,1.1,0.33,336.48,4.86,4.57,3.05,0.05,88.0
Jack Bowes,Gold Coast,19,16.16,5.11,21.26,5.11,0.05,0.11,2.0,0.0,2.11,0.11,5.11,12.53,15.58,73.28,2.84,0.32,0.11,0.79,0.21,0.58,4.74,2.84,0.74,383.21,2.84,4.0,5.58,0.16,79.84
Isaac Smith,Geelong,24,15.96,6.96,22.92,6.92,0.62,0.38,1.58,0.0,4.08,0.46,3.88,17.17,17.08,74.52,2.88,0.21,0.38,1.04,0.12,0.92,3.79,1.12,1.08,480.58,5.04,4.71,2.12,0.25,83.83
Ben Keays,Adelaide,22,15.91,12.23,28.14,3.73,0.55,0.36,6.05,0.0,5.41,0.5,10.95,15.64,18.41,65.42,4.64,0.09,0.32,5.59,2.59,3.0,2.0,1.27,0.18,423.23,5.68,6.59,3.0,0.86,84.73
Touk Miller,Gold Coast,21,15.9,15.9,31.81,4.52,0.38,0.38,7.1,0.05,4.33,0.38,12.57,19.76,22.71,71.39,4.48,0.1,0.1,5.67,2.19,3.48,2.43,1.43,0.14,417.9,5.57,5.0,2.71,0.9,84.86
Brodie Smith,Adelaide,21,15.81,4.81,20.62,5.1,0.1,0.19,1.81,0.0,3.52,0.19,4.33,13.24,16.1,78.08,2.48,0.24,0.1,1.05,0.24,0.81,6.57,2.19,0.24,611.19,3.43,5.57,4.62,0.05,81.24
Paul Seedsman,Adelaide,22,15.77,10.32,26.09,5.41,0.55,0.59,2.32,0.0,5.68,0.64,6.14,19.82,18.95,72.63,3.36,0.09,0.09,2.05,0.5,1.55,2.77,0.68,1.41,599.09,5.82,5.5,2.86,0.09,82.32
Zachary Merrett,Essendon,23,15.7,15.83,31.52,4.17,0.17,0.3,4.87,0.0,5.52,0.87,9.0,22.43,23.43,74.33,4.22,0.04,0.17,3.74,1.35,2.39,2.35,1.78,0.52,448.52,6.65,4.83,4.26,0.3,82.48
Blake Hardwick,Hawthorn,20,15.55,5.3,20.85,5.4,0.0,0.1,2.05,0.0,1.35,0.1,5.05,13.55,17.45,83.69,1.85,0.3,0.0,0.65,0.1,0.55,6.0,3.7,0.05,390.75,2.65,4.45,5.15,0.0,85.1
Zach Tuohy,Geelong,21,15.52,7.38,22.9,5.33,0.52,0.38,1.24,0.0,2.62,0.33,5.43,14.48,18.29,79.87,2.48,0.14,0.24,1.29,0.29,1.0,4.52,0.81,1.0,445.67,4.24,3.24,4.38,0.24,82.76
Isaac Cumming,GWS,24,15.5,6.33,21.83,5.46,0.04,0.17,2.33,0.0,1.67,0.08,5.54,11.62,17.67,80.94,2.58,0.83,0.0,0.67,0.08,0.58,5.75,2.83,0.38,438.5,3.08,4.21,5.83,0.04,80.25
Tim Taranto,GWS,24,15.5,11.04,26.54,4.92,0.54,0.54,5.33,0.0,4.33,0.33,9.88,15.54,16.92,63.75,4.75,0.21,0.38,4.33,1.79,2.54,1.67,1.17,0.04,383.0,5.42,6.21,3.29,0.88,82.25
Jack Crisp,Collingwood,22,15.5,11.5,27.0,6.73,0.09,0.23,3.64,0.0,4.14,0.59,9.14,18.23,20.23,74.93,4.18,0.73,0.05,2.73,0.91,1.82,3.82,2.77,0.41,446.0,4.77,5.55,6.18,0.09,88.45
Jordan Ridley,Essendon,22,15.45,5.64,21.09,6.0,0.0,0.0,1.32,0.0,0.91,0.0,5.0,11.32,18.59,88.15,1.77,1.18,0.0,0.05,0.0,0.05,6.27,6.0,0.32,412.82,2.27,3.32,6.45,0.05,91.27
Karl Amon,Port Adelaide,24,15.42,8.17,23.58,5.88,0.46,0.71,4.08,0.0,4.67,0.42,4.83,18.42,17.08,72.43,3.33,0.04,0.21,1.92,0.5,1.42,2.38,1.21,0.5,479.92,5.46,4.42,2.33,0.67,82.12
Jordan Dawson,Sydney,23,15.39,6.91,22.3,5.48,0.39,0.3,2.96,0.0,3.0,0.26,6.26,13.7,17.57,78.79,2.65,1.0,0.39,0.65,0.09,0.57,4.91,4.17,0.22,463.13,4.17,4.35,5.39,0.09,84.61
