Name,Team,Games Played,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Inside 50s,Goal Assists,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency,Clangers,Contested Marks,Marks Inside 50,Clearances,Centre Clearances,Stoppage Clearances,Rebound 50s,One Percenters,Bounces,Metres Gained,Score Involvements,Turnovers,Intercepts,Tackles Inside 50,Time On Ground
Sam Docherty,Carlton,22,20.91,6.95,27.86,9.05,0.14,0.14,3.32,0.0,1.95,0.36,6.55,19.05,22.14,79.47,3.09,0.5,0.09,1.14,0.5,0.64,5.73,2.55,1.05,514.59,4.73,5.18,6.32,0.14,92.91
Dustin Martin,Richmond,25,19.16,10.6,29.76,4.12,1.48,1.16,3.52,0.0,6.0,1.16,14.52,14.4,19.32,64.92,4.96,1.0,1.04,6.4,3.44,2.96,0.92,1.04,0.96,482.92,9.0,6.16,3.08,0.64,85.24
Gary Jnr Ablett,Gold Coast,14,19.0,14.0,33.0,3.5,0.57,0.79,5.5,0.0,5.86,0.86,13.71,18.29,23.07,69.91,4.64,0.14,0.21,7.71,3.57,4.07,2.5,0.64,0.57,477.0,8.21,5.43,3.07,0.86,86.36
Dylan Roberton,St Kilda,22,17.5,5.59,23.09,6.23,0.23,0.18,1.73,0.0,1.77,0.05,5.0,15.5,18.14,78.56,2.32,0.59,0.0,0.41,0.09,0.32,5.64,2.45,0.95,474.14,3.45,4.95,6.68,0.05,86.95
Zachary Merrett,Essendon,22,17.36,12.59,29.95,4.32,0.41,0.36,5.55,0.0,3.95,0.59,9.0,20.64,21.23,70.88,3.0,0.05,0.14,4.23,1.5,2.73,2.91,0.91,0.59,487.32,6.27,5.36,3.73,0.5,76.73
Andrew Gaff,West Coast,24,17.25,12.46,29.71,5.29,0.25,0.25,2.04,0.0,3.38,0.62,7.0,23.08,22.04,74.18,3.46,0.04,0.33,1.96,0.17,1.79,2.58,0.75,0.38,414.62,5.54,4.75,3.5,0.12,88.88
Kade Simpson,Carlton,22,17.14,6.91,24.05,7.36,0.18,0.14,2.68,0.0,2.73,0.5,6.55,16.45,18.05,75.05,2.86,0.23,0.27,1.5,0.23,1.27,3.77,1.64,0.95,409.95,4.68,4.86,5.18,0.05,93.5
Michael Hibberd,Melbourne,18,16.94,10.44,27.39,5.39,0.06,0.06,1.28,0.0,2.67,0.28,7.17,18.44,21.0,76.67,3.17,0.39,0.0,0.94,0.33,0.61,6.83,3.28,0.28,556.5,3.89,6.11,7.61,0.06,86.11
Michael Hurley,Essendon,21,16.9,8.67,25.57,7.67,0.14,0.05,1.05,0.0,1.19,0.1,6.19,16.33,20.33,79.51,3.0,0.76,0.05,0.24,0.0,0.24,6.9,5.14,0.24,471.95,4.33,5.1,8.48,0.0,93.14
Bryce Gibbs,Carlton,22,16.45,10.36,26.82,5.18,0.77,0.59,5.86,0.0,3.59,0.55,10.14,16.59,18.68,69.65,3.64,0.14,0.41,5.09,1.91,3.18,1.91,0.95,0.09,367.18,5.59,4.91,2.18,0.91,84.77
Bradley Hill,Fremantle,22,16.45,7.09,23.55,6.32,0.59,0.64,2.05,0.0,3.91,0.45,4.0,19.41,16.18,68.7,3.0,0.05,0.36,1.23,0.14,1.09,2.36,0.82,1.0,453.95,5.59,4.73,1.91,0.27,83.18
Marc Murphy,Carlton,22,16.36,13.45,29.82,5.77,0.5,0.41,3.91,0.0,4.41,0.68,10.23,19.55,21.73,72.87,3.41,0.0,0.27,4.55,1.59,2.95,1.64,0.68,0.41,386.73,5.68,4.82,2.41,0.68,87.95
Dayne Zorko,Brisbane,21,16.24,8.81,25.05,3.76,1.62,1.29,7.0,0.0,4.95,0.62,10.43,14.48,16.14,64.43,4.38,0.33,0.52,5.38,2.0,3.38,2.1,1.14,0.62,505.67,7.9,5.14,2.38,1.38,83.9
Jake Lloyd,Sydney,23,16.09,9.87,25.96,5.91,0.26,0.17,1.48,0.0,2.3,0.22,5.17,19.52,20.48,78.89,2.65,0.13,0.3,1.13,0.39,0.74,4.04,1.26,0.3,435.13,5.13,4.09,4.7,0.09,85.7
Alex Witherden,Brisbane,9,15.89,7.67,23.56,5.33,0.22,0.0,2.56,0.0,1.56,0.11,4.89,15.0,17.44,74.02,3.33,0.22,0.0,0.78,0.22,0.56,4.89,1.33,0.22,416.89,4.22,3.89,4.67,0.0,79.44
Heath Shaw,GWS,25,15.72,4.88,20.6,6.04,0.0,0.16,1.48,0.0,1.44,0.2,4.8,13.8,16.0,77.67,3.12,0.36,0.08,0.32,0.08,0.24,5.44,2.96,2.36,454.04,3.48,3.84,6.24,0.04,89.72
Steele Sidebottom,Collingwood,22,15.64,11.64,27.27,5.23,0.73,0.41,4.23,0.0,4.14,0.59,8.23,18.73,19.68,72.17,3.23,0.0,0.27,3.45,1.09,2.36,1.36,1.36,0.95,344.77,6.73,4.73,3.0,0.45,86.82
Aaron Hall,Gold Coast,19,15.26,10.37,25.63,4.63,0.63,0.58,3.58,0.0,5.05,0.47,6.11,19.47,18.47,72.06,3.05,0.16,0.16,2.16,0.47,1.68,2.21,0.74,0.79,495.74,5.79,4.89,2.42,0.37,77.58
