Name,Team,Games Played,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Inside 50s,Goal Assists,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency,Clangers,Contested Marks,Marks Inside 50,Clearances,Centre Clearances,Stoppage Clearances,Rebound 50s,One Percenters,Bounces,Metres Gained,Score Involvements,Turnovers,Intercepts,Tackles Inside 50,Time On Ground
Jayden Short,Tigers,2,24.0,3.0,27.0,6.0,0.0,0.0,1.5,0.0,2.5,0.0,2.5,15.5,24.0,88.89,2.0,0.0,0.0,0.0,0.0,0.0,11.0,1.5,2.0,702.5,4.5,5.0,2.5,0.0,84.5
Christian Petracca,Demons,2,23.5,15.5,39.0,7.0,1.0,1.5,2.5,0.0,12.5,1.5,16.5,22.5,25.0,64.1,4.0,0.0,1.5,7.5,3.0,4.5,1.0,0.0,0.0,824.5,10.5,6.0,2.0,0.0,86.5
Andrew Brayshaw,Dockers,2,23.0,11.0,34.0,8.0,0.5,1.5,7.5,0.0,8.0,0.5,12.5,22.0,23.0,67.65,2.5,0.0,0.0,6.0,2.5,3.5,0.0,1.0,0.0,670.5,8.5,6.0,4.5,0.5,83.5
Ben Keays,Crows,2,22.5,14.5,37.0,6.5,0.0,0.5,3.5,0.0,6.0,1.0,9.5,26.5,27.5,74.32,2.0,0.0,0.0,3.5,1.5,2.0,2.0,0.5,0.5,485.0,9.0,4.0,3.5,1.0,87.5
Aaron Hall,Kangaroos,2,20.5,8.0,28.5,9.0,0.0,0.0,1.0,0.0,5.5,0.0,6.5,18.5,23.0,80.7,2.0,0.5,0.0,0.5,0.0,0.5,7.5,2.0,1.0,668.5,5.0,6.0,6.0,0.0,87.0
Jackson Macrae,Bulldogs,2,20.5,16.5,37.0,3.5,0.0,0.5,2.5,0.0,7.0,1.0,15.5,22.0,29.5,79.73,4.5,0.0,0.0,8.0,4.0,4.0,3.5,0.5,0.0,565.5,7.5,4.0,3.5,0.0,81.5
Lachie Neale,Lions,2,20.0,16.0,36.0,6.5,1.0,1.0,4.0,0.0,7.0,0.5,18.5,17.0,28.5,79.17,5.0,1.5,0.0,9.5,3.0,6.5,3.0,1.0,1.0,608.5,6.5,6.5,6.0,0.0,84.5
Dan Houston,Power,2,19.5,8.5,28.0,8.5,1.5,1.0,1.0,0.0,6.0,0.0,7.5,20.5,21.5,76.79,3.5,0.5,0.0,0.5,0.0,0.5,2.0,2.0,0.5,486.5,7.0,5.0,5.5,0.0,81.0
Daniel Rich,Lions,2,19.5,4.0,23.5,5.0,0.0,0.5,1.5,0.0,2.5,0.0,4.5,13.0,20.0,85.11,2.0,0.0,0.0,0.5,0.0,0.5,7.5,1.5,0.0,526.0,3.0,4.0,6.0,0.0,80.5
Luke McDonald,Kangaroos,2,19.0,4.5,23.5,8.0,0.0,0.5,1.0,0.0,4.0,0.0,6.5,13.5,20.0,85.11,4.0,2.5,0.0,0.0,0.0,0.0,6.5,4.5,0.0,508.5,3.0,4.5,11.0,0.0,91.5
Clayton Oliver,Demons,2,19.0,14.0,33.0,5.0,0.5,0.5,4.5,0.0,4.0,0.0,16.5,17.0,22.5,68.18,8.5,0.0,0.0,9.5,4.5,5.0,2.5,1.0,0.5,535.0,7.0,7.0,5.5,1.5,85.0
Luke Ryan,Dockers,2,19.0,4.5,23.5,6.5,0.0,0.5,1.0,0.0,0.5,0.0,6.5,12.5,21.0,89.36,4.0,0.5,0.0,0.5,0.0,0.5,6.5,4.5,0.5,457.0,3.5,3.0,7.5,0.0,85.0
Jack Ziebell,Kangaroos,2,19.0,5.5,24.5,10.0,0.0,0.0,1.0,0.0,2.5,0.5,6.0,15.0,20.0,81.63,3.0,1.0,0.0,0.5,0.0,0.5,4.0,4.0,0.0,429.5,4.0,3.5,9.0,0.0,82.0
Touk Miller,Suns,2,18.5,15.0,33.5,4.0,0.5,0.5,6.0,0.0,7.0,0.0,17.0,15.0,22.0,65.67,4.0,0.5,0.0,8.5,4.0,4.5,4.5,1.5,0.0,786.5,4.0,7.5,5.0,0.5,87.0
Nick Blakey,Swans,2,18.0,4.0,22.0,6.5,0.0,0.0,0.5,0.0,3.0,0.0,3.0,14.0,17.5,79.55,2.5,0.0,0.0,0.5,0.0,0.5,5.5,2.5,1.0,557.5,5.5,4.5,4.0,0.0,85.0
Matthew Kennedy,Blues,2,18.0,14.0,32.0,5.0,1.0,1.0,3.0,0.0,6.0,0.5,15.5,16.5,18.0,56.25,3.5,1.0,0.0,7.0,2.0,5.0,1.5,1.0,0.0,443.0,9.0,5.5,2.5,0.0,73.0
