Name,Team,Games Played,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Inside 50s,Goal Assists,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency,Clangers,Contested Marks,Marks Inside 50,Clearances,Centre Clearances,Stoppage Clearances,Rebound 50s,One Percenters,Bounces,Metres Gained,Score Involvements,Turnovers,Intercepts,Tackles Inside 50,Time On Ground
Thomas Jonas,Port Adelaide,18,10.94,4.78,15.72,5.28,0.0,0.0,2.0,0.0,0.94,0.0,4.89,9.39,12.56,79.9,2.78,0.67,0.0,0.22,0.06,0.17,4.61,7.89,0.0,287.11,1.78,4.11,6.61,0.0,93.72
Hunter Clark,St Kilda,14,10.93,9.57,20.5,4.57,0.14,0.29,3.14,0.0,1.93,0.29,6.57,14.14,14.57,71.07,2.57,0.21,0.14,1.64,0.36,1.29,2.5,1.0,0.07,278.93,3.29,4.5,4.5,0.29,77.29
Adam Tomlinson,GWS,25,10.92,6.08,17.0,6.2,0.16,0.12,2.6,2.28,2.52,0.32,6.16,11.16,11.64,68.47,2.92,0.36,0.24,2.08,0.36,1.72,1.56,2.2,0.04,255.68,3.56,3.6,2.88,0.4,85.28
Jack Redden,West Coast,23,10.91,12.04,22.96,4.83,0.0,0.17,5.57,0.0,2.22,0.35,9.48,13.61,16.22,70.64,2.83,0.13,0.13,4.09,1.57,2.52,1.22,2.35,0.04,208.52,4.17,3.78,2.96,0.43,81.83
Sam Lloyd,Western Bulldogs,23,10.87,4.52,15.39,5.17,1.65,1.35,2.35,0.0,2.65,0.61,5.22,10.13,10.26,66.67,2.39,0.7,1.74,0.65,0.04,0.61,0.7,0.78,0.09,308.22,5.87,3.52,1.57,0.7,80.3
Adam Saad,Essendon,22,10.86,6.77,17.64,2.82,0.14,0.0,3.36,0.0,1.86,0.23,5.77,9.82,14.14,80.16,2.55,0.09,0.0,0.86,0.05,0.82,4.73,3.41,2.36,352.5,2.55,3.5,6.23,0.09,85.32
Justin Westhoff,Port Adelaide,20,10.85,6.55,17.4,5.85,0.6,0.65,2.8,0.35,1.95,0.6,6.45,10.9,12.1,69.54,2.75,0.85,1.15,0.6,0.3,0.3,1.75,4.15,0.0,258.9,4.5,3.55,4.4,0.85,85.35
Jordan Ridley,Essendon,6,10.83,4.0,14.83,7.0,0.0,0.0,1.83,0.0,0.67,0.0,3.17,10.67,13.17,88.81,1.0,0.33,0.0,0.17,0.0,0.17,3.5,1.5,0.5,253.33,1.83,2.17,4.0,0.0,82.0
Jasper Pittard,North Melbourne,22,10.82,7.5,18.32,5.95,0.05,0.0,1.68,0.0,1.23,0.18,4.09,13.18,14.59,79.64,2.27,0.68,0.0,0.18,0.05,0.14,3.32,6.09,0.5,284.86,2.91,2.64,5.68,0.0,82.23
Jarman Impey,Hawthorn,17,10.82,5.76,16.59,4.88,0.41,0.18,2.76,0.0,2.18,0.24,5.53,11.18,13.12,79.08,1.76,0.59,0.18,0.29,0.0,0.29,2.53,1.53,0.53,289.47,3.29,2.71,5.71,0.29,77.65
Wayne Milera,Adelaide,17,10.82,7.41,18.24,5.41,0.35,0.41,3.0,0.0,2.0,0.24,4.76,13.06,13.88,76.1,2.47,0.59,0.41,1.41,0.29,1.12,2.41,2.24,0.35,261.24,4.24,3.47,3.06,0.24,80.29
Andrew McGrath,Essendon,23,10.78,10.26,21.04,3.43,0.39,0.13,2.61,0.0,2.35,0.43,6.7,14.17,14.87,70.67,2.48,0.13,0.04,1.65,0.3,1.35,2.09,1.22,0.74,270.09,3.74,3.78,3.7,0.26,77.74
Isaac Heeney,Sydney,22,10.77,9.27,20.05,5.73,1.18,0.68,3.86,0.05,3.0,0.36,8.95,11.5,14.41,71.87,2.91,1.14,1.32,2.36,0.64,1.73,0.95,1.32,0.05,305.59,5.91,3.86,2.32,1.0,82.59
James Cousins,Hawthorn,12,10.75,7.5,18.25,4.25,0.67,0.33,2.75,0.0,3.58,0.17,5.67,12.5,13.58,74.41,2.67,0.08,0.25,2.17,0.83,1.33,0.58,0.42,0.25,304.08,4.42,4.5,2.0,0.42,73.42
Josh Battle,St Kilda,19,10.74,4.0,14.74,6.05,0.16,0.05,2.79,0.0,0.63,0.11,3.47,9.95,12.21,82.84,1.79,0.68,0.11,0.05,0.0,0.05,3.16,2.79,0.47,226.63,1.79,2.42,4.95,0.11,78.58
Taylin Duman,Fremantle,14,10.71,4.21,14.93,5.5,0.07,0.21,2.36,0.0,1.07,0.0,3.86,10.29,10.79,72.27,2.43,0.43,0.07,0.5,0.0,0.5,2.86,4.21,0.0,240.21,2.64,2.86,4.29,0.0,84.21
Paul Seedsman,Adelaide,13,10.69,8.38,19.08,4.23,0.46,0.31,2.15,0.0,3.62,0.31,4.15,14.85,15.15,79.4,1.23,0.31,0.23,1.46,0.23,1.23,1.54,0.69,2.0,411.85,4.54,3.08,1.69,0.23,82.0
