Name,Team,Games Played,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Inside 50s,Goal Assists,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency,Clangers,Contested Marks,Marks Inside 50,Clearances,Centre Clearances,Stoppage Clearances,Rebound 50s,One Percenters,Bounces,Metres Gained,Score Involvements,Turnovers,Intercepts,Tackles Inside 50,Time On Ground
Jake Lloyd,Sydney,23,18.26,9.52,27.78,6.48,0.13,0.13,1.61,0.0,1.96,0.13,5.83,20.09,22.04,79.34,2.0,0.26,0.17,1.22,0.22,1.0,6.04,2.43,0.43,493.39,3.78,5.22,5.3,0.0,88.43
Heath Shaw,GWS,20,18.05,4.2,22.25,5.75,0.0,0.1,2.65,0.05,1.7,0.15,6.2,13.15,16.0,71.91,4.6,0.55,0.05,0.85,0.15,0.7,7.3,3.85,2.0,498.45,3.35,5.1,7.15,0.1,90.3
Andrew Gaff,West Coast,19,17.84,12.84,30.68,5.26,0.63,0.21,2.95,0.0,3.89,0.58,8.84,21.32,23.05,75.13,2.42,0.11,0.21,3.63,0.79,2.84,1.89,0.37,0.58,388.47,6.53,5.0,3.58,0.21,88.47
Kade Simpson,Carlton,21,17.57,8.57,26.14,5.48,0.19,0.0,2.0,0.0,2.71,0.52,7.43,15.9,19.86,75.98,2.57,0.67,0.19,1.05,0.29,0.76,5.19,2.38,1.24,469.43,4.19,4.62,6.81,0.05,91.38
Shannon Hurn,West Coast,25,17.2,4.04,21.24,7.88,0.04,0.08,1.76,0.0,2.0,0.28,4.36,14.0,18.2,85.69,1.76,0.76,0.04,0.2,0.08,0.12,4.8,2.6,0.32,404.44,3.28,3.68,6.88,0.0,88.44
James Sicily,Hawthorn,16,16.5,6.81,23.31,7.12,0.38,0.06,1.62,0.0,3.38,0.06,7.56,15.31,18.81,80.69,3.69,1.12,0.12,0.44,0.0,0.44,4.88,4.88,0.31,519.38,4.62,6.19,9.19,0.0,91.31
Lachie Whitfield,GWS,24,16.46,10.29,26.75,6.71,0.25,0.38,3.21,0.0,3.71,0.38,6.04,20.12,20.96,78.36,3.17,0.12,0.21,1.42,0.25,1.17,3.67,1.92,0.79,496.75,6.17,4.46,4.38,0.33,87.75
Jared Polec,Port Adelaide,22,16.41,8.73,25.14,4.5,0.41,0.36,2.91,0.0,4.0,0.68,8.64,16.36,17.55,69.81,3.41,0.23,0.18,2.55,0.36,2.18,3.05,1.32,0.5,490.55,5.32,4.5,4.32,0.09,85.18
Lachlan Hunter,Western Bulldogs,21,16.33,13.48,29.81,5.57,0.38,0.48,2.76,0.0,3.67,0.19,8.43,20.52,22.19,74.44,2.71,0.1,0.81,2.43,0.48,1.95,2.86,1.33,1.33,384.05,5.62,4.81,5.29,0.38,90.33
Jarrod Harbrow,Gold Coast,22,16.32,5.27,21.59,4.23,0.05,0.0,2.14,0.0,2.0,0.18,5.73,14.45,15.27,70.73,3.73,0.14,0.0,0.86,0.23,0.64,5.32,2.18,0.68,401.27,2.09,5.41,5.91,0.0,86.64
Stephen Coniglio,GWS,23,16.26,11.7,27.96,4.7,1.04,0.74,5.04,0.04,3.83,0.61,11.22,17.09,18.61,66.56,3.91,0.3,0.52,5.48,1.78,3.7,1.57,0.96,0.39,367.48,7.39,4.91,2.22,0.83,85.0
Tom Mitchell,Hawthorn,24,16.21,19.12,35.33,4.71,0.54,0.29,6.33,0.0,4.92,0.5,16.21,19.33,25.42,71.95,4.17,0.04,0.29,7.96,3.12,4.83,2.08,0.54,1.25,436.04,6.21,6.62,3.83,0.88,90.04
Bryce Gibbs,Adelaide,22,16.09,9.77,25.86,3.73,0.59,0.68,5.36,0.0,4.5,0.59,10.73,14.82,17.09,66.09,3.32,0.27,0.45,5.14,2.05,3.09,1.91,0.91,0.32,420.27,6.05,5.18,3.09,0.64,81.64
Sebastian Ross,St Kilda,21,16.05,14.05,30.1,5.43,0.14,0.38,3.95,0.0,4.71,0.57,9.67,20.19,22.52,74.82,3.95,0.19,0.14,4.24,2.1,2.14,2.62,1.48,0.71,472.67,5.95,5.43,3.43,0.24,86.24
Alex Witherden,Brisbane,21,16.0,6.43,22.43,7.24,0.05,0.14,1.62,0.0,2.05,0.14,3.76,15.67,17.62,78.56,1.81,0.1,0.1,0.71,0.38,0.33,4.57,1.76,0.24,410.43,3.76,3.76,3.76,0.05,78.24
Rory Laird,Adelaide,20,15.95,16.25,32.2,6.2,0.15,0.2,2.15,0.0,2.15,0.4,9.95,21.2,25.0,77.64,3.1,0.35,0.05,1.25,0.2,1.05,5.0,1.35,0.2,421.55,5.05,6.05,8.95,0.0,85.35
Joshua Kelly,GWS,16,15.81,10.5,26.31,3.62,0.62,0.81,5.12,0.0,5.62,0.94,8.75,17.81,18.69,71.04,2.38,0.06,0.56,3.38,0.5,2.88,2.19,1.06,0.62,494.88,7.38,4.69,3.0,0.88,78.69
Dustin Martin,Richmond,23,15.74,9.65,25.39,3.74,1.35,0.91,2.17,0.0,5.91,1.0,11.83,13.3,16.52,65.06,4.65,0.96,0.74,5.39,3.3,2.09,0.17,1.17,1.52,439.52,8.57,5.35,1.61,0.48,82.78
Jackson Macrae,Western Bulldogs,19,15.74,17.05,32.79,5.79,0.42,0.26,5.37,0.0,4.37,0.74,13.42,19.63,24.32,74.17,2.84,0.32,0.32,6.16,2.0,4.16,2.37,1.26,0.53,393.58,6.47,5.32,3.53,0.79,85.84
Dayne Beams,Brisbane,21,15.71,13.43,29.14,5.43,0.86,0.62,2.95,0.0,4.33,0.33,11.19,18.43,20.29,69.63,3.57,0.29,0.9,5.57,2.48,3.1,1.76,0.67,0.1,407.43,6.48,5.38,2.57,0.33,86.24
Elliot Yeo,West Coast,25,15.6,9.0,24.6,5.16,0.56,0.6,6.72,0.0,5.28,0.64,12.4,12.44,15.72,63.9,4.8,0.76,0.28,4.32,1.56,2.76,1.92,1.92,0.4,478.6,6.08,5.64,4.0,0.8,87.24
Gary Jnr Ablett,Geelong,19,15.53,13.47,29.0,4.47,0.84,0.79,3.79,0.0,4.84,0.42,10.95,18.26,20.58,70.97,4.37,0.16,0.32,4.63,1.74,2.89,2.32,0.74,0.47,462.26,7.68,5.89,2.68,0.42,82.32
Tom Phillips,Collingwood,26,15.04,10.5,25.54,5.65,0.58,0.31,2.38,0.0,3.04,0.46,7.65,18.08,18.15,71.06,2.81,0.19,0.15,2.12,0.08,2.04,2.65,0.73,0.5,434.92,5.12,4.77,4.12,0.15,85.77
Jayden Short,Richmond,24,15.0,5.0,20.0,4.25,0.38,0.33,1.62,0.0,3.38,0.25,4.96,14.33,15.67,78.35,2.42,0.12,0.0,0.46,0.08,0.38,4.33,1.0,1.46,522.83,4.58,4.58,5.25,0.04,79.08
Mitchell Duncan,Geelong,21,15.0,11.33,26.33,6.33,0.33,0.38,3.52,0.0,3.81,0.71,8.24,18.67,19.71,74.86,3.52,0.14,0.33,3.38,0.33,3.05,3.29,1.52,0.52,439.57,6.57,4.0,3.05,0.19,84.19
Dyson Heppell,Essendon,22,14.86,11.95,26.82,5.55,0.45,0.18,3.95,0.0,4.36,0.41,10.82,16.41,19.09,71.18,3.55,0.36,0.32,4.86,1.5,3.36,1.73,1.5,0.05,413.18,6.14,5.09,3.09,0.32,84.18
Bradley Hill,Fremantle,10,14.8,5.9,20.7,4.8,0.2,0.2,2.7,0.0,4.8,0.7,3.8,17.3,14.4,69.57,2.2,0.0,0.0,1.0,0.0,1.0,2.4,0.8,0.9,485.9,3.8,4.7,1.3,0.4,82.2
Nathan Wilson,Fremantle,21,14.76,3.76,18.52,5.24,0.05,0.14,1.1,0.0,3.33,0.38,4.29,13.24,14.24,76.89,2.71,0.33,0.1,0.76,0.19,0.57,4.9,3.43,0.9,503.29,3.62,4.86,4.71,0.0,84.14
Jarryd Lyons,Gold Coast,19,14.74,9.79,24.53,2.68,0.37,0.79,5.47,0.0,3.84,0.32,13.58,10.32,14.74,60.09,4.05,0.16,0.26,7.26,2.37,4.89,1.79,1.11,0.05,368.21,4.47,5.37,2.74,0.63,76.74
Michael Hurley,Essendon,20,14.65,7.05,21.7,7.8,0.0,0.0,0.75,0.0,1.1,0.05,5.75,14.95,17.25,79.49,2.15,0.8,0.0,0.25,0.0,0.25,5.45,4.35,0.1,347.35,2.95,4.05,7.2,0.0,90.95
Angus Brayshaw,Melbourne,22,14.64,11.45,26.09,4.91,0.64,0.45,4.5,0.0,5.09,0.32,10.86,15.91,17.23,66.04,4.05,0.45,0.5,4.23,2.05,2.18,1.59,1.45,0.32,473.64,6.73,5.45,2.82,0.68,77.5
Zach Tuohy,Geelong,23,14.61,7.3,21.91,5.09,0.43,0.13,1.26,0.0,2.61,0.3,5.26,15.35,16.74,76.4,1.91,0.17,0.13,0.91,0.3,0.61,4.22,2.0,0.35,422.83,4.48,4.83,5.26,0.13,92.65
Brayden Fiorini,Gold Coast,11,14.55,7.36,21.91,4.27,0.36,0.45,4.45,0.0,3.09,0.09,7.0,15.0,14.18,64.72,3.09,0.0,0.18,3.0,1.09,1.91,1.82,1.18,0.55,364.09,2.55,5.0,2.55,0.55,77.55
Matthew Suckling,Western Bulldogs,11,14.55,9.91,24.45,5.55,0.45,0.82,1.36,0.0,3.45,0.27,4.55,18.36,19.36,79.18,2.27,0.0,0.09,0.91,0.27,0.64,3.27,2.36,1.55,454.73,5.36,4.73,4.36,0.0,80.64
Liam Shiels,Hawthorn,23,14.43,8.7,23.13,3.7,0.39,0.13,6.48,0.0,4.17,0.48,8.04,14.22,15.17,65.59,3.17,0.09,0.22,3.96,1.26,2.7,0.83,1.13,0.35,361.13,4.7,4.35,2.91,1.13,80.3
Taylor Adams,Collingwood,23,14.35,12.61,26.96,3.39,0.39,0.39,5.22,0.0,4.17,0.7,13.26,14.0,18.17,67.4,4.78,0.13,0.17,6.35,2.43,3.91,1.52,1.17,0.52,361.96,5.96,4.74,2.87,0.48,78.13
Shane Savage,St Kilda,18,14.22,7.89,22.11,5.28,0.11,0.28,1.89,0.0,3.11,0.28,4.28,17.94,18.06,81.68,1.83,0.11,0.06,0.39,0.11,0.28,3.06,1.78,1.28,408.72,4.5,4.28,4.11,0.0,87.44
David Zaharakis,Essendon,17,14.18,11.47,25.65,5.0,0.41,0.35,3.65,0.0,3.71,0.82,7.82,17.71,19.35,75.44,2.59,0.12,0.18,2.35,0.41,1.94,2.29,0.94,0.29,359.82,5.76,3.82,3.06,0.24,82.53
Marc Murphy,Carlton,13,14.15,11.85,26.0,4.77,0.38,0.31,4.0,0.0,3.92,0.69,8.23,17.69,18.23,70.12,3.77,0.0,0.08,3.23,1.0,2.23,2.54,1.38,0.08,379.54,5.23,4.77,2.85,0.31,88.46
Shaun Higgins,North Melbourne,20,14.05,13.35,27.4,3.3,0.7,0.8,2.9,0.0,5.9,0.85,10.65,16.75,19.6,71.53,2.75,0.2,0.2,5.15,2.35,2.8,1.35,0.65,0.25,469.15,7.25,4.75,2.05,0.75,85.35
Jack Redden,West Coast,25,14.04,11.08,25.12,5.6,0.4,0.16,4.72,0.0,2.64,0.4,10.44,15.16,18.12,72.13,3.24,0.16,0.44,4.88,1.92,2.96,2.28,1.64,0.24,337.52,5.52,3.6,3.2,0.4,84.56
Dylan Shiel,GWS,23,13.96,11.96,25.91,2.87,0.26,0.61,3.43,0.0,4.74,1.13,9.3,15.96,17.96,69.32,3.74,0.0,0.09,4.52,1.61,2.91,1.61,1.35,0.57,409.87,6.35,4.61,2.65,0.22,77.7
Tom Cutler,Brisbane,18,13.94,6.5,20.44,6.5,0.61,0.83,1.94,0.0,4.11,0.61,5.17,15.06,15.11,73.92,2.56,0.11,0.89,1.11,0.17,0.94,2.5,1.56,0.67,430.17,5.0,3.78,3.5,0.11,84.83
Steele Sidebottom,Collingwood,26,13.88,15.5,29.38,5.12,0.46,0.54,3.69,0.0,4.19,0.65,9.65,19.65,21.85,74.37,3.5,0.12,0.31,3.96,1.5,2.46,1.77,2.12,0.73,360.35,6.42,4.31,3.19,0.5,85.58
Patrick Dangerfield,Geelong,22,13.86,14.27,28.14,3.73,1.09,1.05,4.68,0.0,5.0,1.05,15.0,13.5,18.95,67.34,4.14,1.14,0.91,5.36,2.0,3.36,1.05,2.09,0.64,422.09,7.91,5.09,3.41,0.95,84.05
Matt Crouch,Adelaide,18,13.83,18.39,32.22,3.83,0.11,0.17,3.89,0.0,3.61,0.61,12.72,19.5,22.44,69.65,3.72,0.11,0.22,5.39,1.83,3.56,1.72,0.67,0.28,313.0,5.83,5.33,3.89,0.56,75.83
Jack Steven,St Kilda,22,13.82,13.09,26.91,4.0,0.59,0.32,3.59,0.0,4.68,0.36,10.14,16.77,18.73,69.6,3.91,0.09,0.41,5.36,2.77,2.59,1.64,1.05,1.77,383.32,5.73,4.95,1.95,0.77,81.05
