Name,Team,Games Played,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Inside 50s,Goal Assists,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency,Clangers,Contested Marks,Marks Inside 50,Clearances,Centre Clearances,Stoppage Clearances,Rebound 50s,One Percenters,Bounces,Metres Gained,Score Involvements,Turnovers,Intercepts,Tackles Inside 50,Time On Ground
Jake Lloyd,Sydney,17,16.71,9.12,25.82,4.76,0.06,0.0,2.18,0.0,1.35,0.24,6.12,14.12,20.29,78.58,1.82,0.18,0.0,0.71,0.18,0.53,5.65,2.18,0.06,425.35,2.47,4.76,6.41,0.0,88.94
Alex Witherden,Brisbane,6,15.33,3.83,19.17,6.5,0.0,0.0,1.17,0.0,2.17,0.0,4.17,13.0,14.33,74.75,1.83,0.0,0.0,0.5,0.0,0.5,4.0,1.17,0.0,340.0,2.33,3.67,4.17,0.17,81.67
Luke Ryan,Fremantle,17,14.76,3.82,18.59,5.18,0.0,0.0,1.18,0.0,0.71,0.06,4.18,9.24,15.65,84.19,1.71,0.29,0.0,0.29,0.0,0.29,6.59,4.71,0.41,405.76,0.94,3.71,7.59,0.0,91.71
Thomas Stewart,Geelong,18,14.61,4.5,19.11,6.94,0.0,0.06,1.28,0.0,1.94,0.11,4.33,11.67,15.78,82.57,1.83,0.56,0.06,0.61,0.17,0.44,5.67,3.17,0.0,405.61,2.94,3.11,5.22,0.0,79.11
Daniel Rich,Brisbane,15,14.53,2.53,17.07,4.93,0.27,0.13,1.27,0.0,2.6,0.07,3.6,10.4,13.4,78.5,1.47,0.27,0.0,0.4,0.07,0.33,4.8,1.93,0.0,430.33,2.73,3.47,4.93,0.0,81.8
Jayden Short,Richmond,21,14.14,4.9,19.05,5.43,0.0,0.19,1.29,0.0,2.62,0.14,4.62,11.71,15.71,82.47,1.52,0.24,0.1,0.52,0.14,0.38,4.52,1.52,1.33,480.33,3.19,3.76,4.29,0.0,79.24
Andrew Gaff,West Coast,18,13.94,10.33,24.28,4.5,0.28,0.22,2.33,0.0,3.22,0.5,7.22,16.67,17.72,72.98,2.39,0.17,0.56,2.22,0.72,1.5,1.61,1.33,0.39,338.39,3.56,4.67,3.94,0.39,95.39
Zachary Merrett,Essendon,16,13.81,12.44,26.25,4.31,0.12,0.12,3.44,0.0,4.88,0.44,7.81,18.31,19.44,74.06,2.88,0.12,0.06,3.62,1.56,2.06,1.88,1.12,0.25,413.19,5.0,4.31,2.38,0.12,82.44
Lachlan Hunter,Western Bulldogs,10,13.7,11.6,25.3,5.4,0.4,0.8,2.4,0.0,3.3,0.4,5.5,18.7,19.4,76.68,2.5,0.1,0.8,2.1,0.2,1.9,1.6,1.5,0.8,387.4,6.4,3.5,2.8,0.6,81.6
Sam Docherty,Carlton,16,13.5,5.12,18.62,5.19,0.0,0.06,1.19,0.0,1.88,0.06,5.19,11.44,14.19,76.21,2.31,0.12,0.0,0.5,0.06,0.44,5.19,1.75,0.31,372.88,2.88,3.75,5.75,0.06,82.44
