Name,Team,Games Played,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Inside 50s,Goal Assists,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency,Clangers,Contested Marks,Marks Inside 50,Clearances,Centre Clearances,Stoppage Clearances,Rebound 50s,One Percenters,Bounces,Metres Gained,Score Involvements,Turnovers,Intercepts,Tackles Inside 50,Time On Ground
Heath Shaw,GWS,24,20.96,3.21,24.17,7.62,0.04,0.0,2.54,0.08,1.62,0.0,5.62,15.33,18.0,74.47,3.75,0.75,0.0,0.5,0.08,0.42,7.83,3.67,2.92,575.0,3.21,5.25,7.12,0.08,93.12
Dustin Martin,Richmond,22,19.41,11.68,31.09,4.5,0.41,0.41,3.64,0.0,5.09,0.73,12.59,18.23,20.95,67.39,5.14,0.45,0.59,5.18,2.32,2.86,2.45,1.0,0.73,454.0,6.14,6.36,2.77,0.32,83.09
Kade Simpson,Carlton,22,17.41,9.73,27.14,6.91,0.14,0.0,2.45,0.0,2.36,0.68,5.68,20.45,22.36,82.39,2.59,0.27,0.09,0.64,0.23,0.41,4.59,2.41,1.73,474.64,5.05,4.18,6.27,0.05,92.95
Aaron Hall,Gold Coast,17,17.24,10.59,27.82,4.65,0.47,1.0,3.71,0.41,5.29,0.59,8.41,19.71,19.59,70.42,3.06,0.06,0.18,3.06,1.65,1.41,2.0,0.76,0.59,528.29,6.41,5.53,2.94,0.41,79.53
Bernie Vince,Melbourne,21,17.0,8.43,25.43,3.86,0.29,0.48,3.1,0.33,3.43,0.38,8.29,16.19,17.33,68.15,4.0,0.38,0.33,3.33,0.71,2.62,3.71,1.43,0.19,467.81,5.1,5.76,4.24,0.05,85.0
Matthew Boyd,Western Bulldogs,24,16.96,10.25,27.21,6.71,0.0,0.04,2.04,0.0,2.12,0.25,7.12,17.96,21.42,78.72,2.42,0.42,0.08,0.75,0.25,0.5,4.92,2.12,0.58,492.08,4.21,3.29,6.46,0.08,83.29
Andrew Gaff,West Coast,22,16.91,12.95,29.86,3.68,0.32,0.27,1.23,0.0,3.77,0.5,7.41,22.59,21.59,72.3,3.05,0.0,0.55,2.64,0.41,2.23,3.0,0.45,0.36,483.27,6.09,5.27,3.73,0.0,86.91
Jason Johannisen,Western Bulldogs,17,16.65,7.65,24.29,6.59,0.35,0.47,2.18,0.0,3.94,0.65,5.41,18.35,18.82,77.48,2.29,0.24,0.35,1.0,0.06,0.94,3.0,1.53,1.59,493.47,4.41,4.35,4.59,0.0,80.18
Sam Docherty,Carlton,22,16.32,9.41,25.73,7.86,0.05,0.09,2.59,0.0,2.05,0.32,6.27,18.14,20.91,81.27,2.77,0.77,0.09,0.59,0.05,0.55,5.41,3.27,1.05,463.95,4.32,5.05,7.36,0.14,89.5
Patrick Dangerfield,Geelong,24,16.12,15.62,31.75,5.08,1.0,1.0,4.54,0.38,8.08,0.92,16.17,16.08,22.0,69.29,3.83,1.21,0.75,6.62,3.5,3.12,1.46,1.21,0.75,602.08,8.54,5.17,3.62,0.88,84.46
Zachary Merrett,Essendon,22,15.86,14.0,29.86,5.0,0.32,0.32,6.18,0.0,4.91,0.55,10.41,20.0,21.59,72.3,2.77,0.05,0.14,4.32,1.59,2.73,2.05,1.5,0.09,434.5,5.91,4.36,2.55,0.59,80.36
Stephen Hill,Fremantle,21,15.81,9.05,24.86,3.0,0.19,0.33,3.86,0.86,4.57,0.62,8.48,15.95,16.9,67.98,3.76,0.19,0.19,3.81,1.29,2.52,2.71,1.76,0.9,519.33,4.67,6.1,3.33,0.52,84.43
Sam Mitchell,Hawthorn,22,15.59,14.05,29.64,3.64,0.0,0.14,3.59,0.14,3.82,0.5,9.82,19.41,21.95,74.06,3.09,0.18,0.18,5.41,2.41,3.0,2.55,1.32,0.68,437.77,7.09,4.36,3.27,0.23,89.41
Leigh Montagna,St Kilda,22,15.41,11.32,26.73,6.14,0.18,0.18,2.73,0.0,3.59,0.73,5.91,20.09,21.18,79.24,2.41,0.27,0.09,1.36,0.41,0.95,2.95,1.41,0.73,489.23,4.91,4.55,3.68,0.14,87.86
Jasper Pittard,Port Adelaide,22,15.41,7.23,22.64,4.64,0.05,0.23,2.18,0.0,2.91,0.41,5.32,15.09,17.36,76.68,3.32,0.41,0.05,0.73,0.14,0.59,5.32,5.09,1.64,547.95,4.5,6.18,6.18,0.0,88.36
Jack Ziebell,North Melbourne,23,15.3,7.09,22.39,3.65,0.78,0.57,4.87,0.52,4.61,0.35,10.48,12.04,14.74,65.83,3.96,0.39,0.39,4.52,1.91,2.61,1.61,1.39,0.22,447.0,5.48,4.65,2.35,0.83,77.26
Taylor Adams,Collingwood,14,15.14,12.57,27.71,4.57,0.43,0.07,4.43,0.0,3.64,0.36,10.57,17.5,19.79,71.42,3.36,0.0,0.0,4.71,1.93,2.79,2.43,1.57,0.21,409.07,6.0,4.5,3.64,0.71,77.64
Luke Hodge,Hawthorn,15,15.07,7.8,22.87,5.67,0.27,0.2,3.2,0.87,3.73,0.47,7.73,14.6,15.73,68.78,3.67,0.47,0.07,2.67,0.93,1.73,3.07,3.73,0.13,384.93,5.6,4.8,5.53,0.33,82.33
Lachlan Hunter,Western Bulldogs,26,15.04,12.62,27.65,5.62,0.38,0.54,2.54,0.0,3.73,0.62,8.19,19.77,20.62,74.58,3.23,0.15,0.5,2.46,0.69,1.77,1.85,1.5,0.38,361.62,5.35,4.81,3.42,0.42,87.73
Jake Lloyd,Sydney,26,15.0,9.38,24.38,4.04,0.23,0.12,2.27,0.0,3.04,0.23,6.92,17.0,17.31,71.0,2.62,0.08,0.08,1.54,0.12,1.42,3.62,1.65,0.27,435.92,4.96,5.38,4.73,0.12,81.54
Dayne Zorko,Brisbane,20,15.0,8.55,23.55,4.15,1.15,0.8,6.4,0.05,5.0,0.95,8.85,14.3,17.2,73.04,2.8,0.15,0.45,3.4,0.65,2.75,2.35,1.1,0.45,429.25,6.4,4.0,3.45,1.15,81.65
Danyle Pearce,Fremantle,22,14.59,7.18,21.77,3.86,0.18,0.36,2.32,0.0,4.41,0.45,5.95,15.27,15.55,71.43,2.45,0.0,0.09,1.64,0.18,1.45,2.77,1.09,1.05,456.23,4.27,4.77,3.05,0.27,78.32
Bachar Houli,Richmond,12,14.58,10.33,24.92,6.67,0.0,0.25,2.42,0.0,3.25,0.33,6.0,17.83,18.67,74.92,2.92,0.25,0.08,1.08,0.33,0.75,4.42,2.25,0.25,428.58,4.0,5.5,4.42,0.08,88.5
Bryce Gibbs,Carlton,22,14.55,12.27,26.82,3.5,0.82,0.55,5.18,2.27,4.5,0.73,9.55,17.05,18.68,69.65,2.91,0.0,0.73,4.73,2.0,2.73,1.55,0.95,0.32,377.36,6.36,4.41,2.27,0.45,80.77
Trent Cotchin,Richmond,20,14.55,12.4,26.95,2.8,0.5,0.3,4.6,0.2,3.85,0.65,12.15,14.5,18.35,68.09,3.75,0.2,0.25,6.1,2.7,3.4,2.65,0.95,0.3,378.45,5.65,4.55,3.9,0.35,81.6
Gary Jnr Ablett,Gold Coast,14,14.5,12.5,27.0,2.0,0.71,0.86,6.07,0.0,4.36,0.36,13.21,13.57,19.07,70.63,3.0,0.0,0.43,7.36,3.0,4.36,2.64,1.21,0.86,445.79,6.79,4.36,2.36,0.79,87.5
Nick Riewoldt,St Kilda,21,14.29,6.48,20.76,10.57,1.95,1.14,1.9,2.76,3.67,0.48,5.33,15.86,15.43,74.33,2.29,1.62,2.57,0.57,0.05,0.52,1.38,1.43,0.0,321.0,7.19,3.62,2.0,0.62,90.1
Tom Rockliff,Brisbane,17,14.29,15.59,29.88,3.94,0.88,0.18,6.88,0.06,3.12,0.53,11.76,17.47,20.59,68.91,3.24,0.06,0.29,5.41,2.18,3.24,1.88,0.53,0.24,347.35,6.88,4.76,2.65,0.76,76.12
Joel Selwood,Geelong,24,14.21,14.08,28.29,3.46,0.38,0.5,5.79,0.17,4.88,0.88,13.71,15.08,20.0,70.7,3.58,0.29,0.54,6.5,3.25,3.25,1.33,1.46,0.0,399.12,6.88,3.92,2.62,0.79,80.62
Jack Steven,St Kilda,22,14.09,13.86,27.95,2.82,0.64,0.27,5.59,0.0,5.32,0.77,11.36,16.23,19.64,70.27,3.0,0.09,0.32,5.5,2.86,2.64,1.18,0.77,0.73,386.14,6.09,5.41,2.59,0.64,81.95
Daniel Hannebery,Sydney,26,14.04,16.81,30.85,3.62,0.5,0.69,4.88,0.0,4.92,0.58,13.15,17.81,20.85,67.59,3.58,0.08,0.5,4.73,1.38,3.35,1.54,1.42,0.27,426.42,7.0,5.04,3.77,0.54,85.42
Corey Enright,Geelong,23,14.0,9.57,23.57,5.65,0.17,0.09,2.87,0.04,1.26,0.3,7.43,15.57,18.26,77.47,2.78,0.26,0.13,1.17,0.17,1.0,3.52,3.09,0.13,349.78,5.0,3.78,7.26,0.04,88.39
Isaac Smith,Hawthorn,24,13.96,8.58,22.54,5.79,0.38,0.67,2.75,0.71,4.21,0.46,4.83,17.71,16.62,73.74,2.54,0.08,0.33,1.75,0.17,1.58,2.04,0.96,1.83,441.88,5.92,4.04,1.83,0.62,84.71
