"away.stats.totals.behinds","away.stats.totals.bounces","away.stats.totals.clangers","away.stats.totals.clearances.centreClearances","away.stats.totals.clearances.stoppageClearances","away.stats.totals.clearances.totalClearances","away.stats.totals.contestedMarks","away.stats.totals.contestedPossessions","away.stats.totals.disposalEfficiency","away.stats.totals.disposals","away.stats.totals.dreamTeamPoints","away.stats.totals.extendedStats","away.stats.totals.freesAgainst","away.stats.totals.freesFor","away.stats.totals.goalAccuracy","away.stats.totals.goalAssists","away.stats.totals.goalEfficiency","away.stats.totals.goals","away.stats.totals.handballs","away.stats.totals.hitouts","away.stats.totals.inside50s","away.stats.totals.intercepts","away.stats.totals.interchangeCounts.interchangeCap","away.stats.totals.interchangeCounts.interchangeCountQ1","away.stats.totals.interchangeCounts.interchangeCountQ2","away.stats.totals.interchangeCounts.interchangeCountQ3","away.stats.totals.interchangeCounts.interchangeCountQ4","away.stats.totals.interchangeCounts.totalInterchangeCount","away.stats.totals.kicks","away.stats.totals.lastUpdated","away.stats.totals.marks","away.stats.totals.marksInside50","away.stats.totals.metresGained","away.stats.totals.onePercenters","away.stats.totals.ranking","away.stats.totals.ratingPoints","away.stats.totals.rebound50s","away.stats.totals.scoreInvolvements","away.stats.totals.shotEfficiency","away.stats.totals.shotsAtGoal","away.stats.totals.superGoals","away.stats.totals.tackles","away.stats.totals.tacklesInside50","away.stats.totals.totalPossessions","away.stats.totals.turnovers","away.stats.totals.uncontestedPossessions","away.team.teamAbbr","away.team.teamId","away.team.teamName","away.team.teamNickname","home.stats.totals.behinds","home.stats.totals.bounces","home.stats.totals.clangers","home.stats.totals.clearances.centreClearances","home.stats.totals.clearances.stoppageClearances","home.stats.totals.clearances.totalClearances","home.stats.totals.contestedMarks","home.stats.totals.contestedPossessions","home.stats.totals.disposalEfficiency","home.stats.totals.disposals","home.stats.totals.dreamTeamPoints","home.stats.totals.extendedStats","home.stats.totals.freesAgainst","home.stats.totals.freesFor","home.stats.totals.goalAccuracy","home.stats.totals.goalAssists","home.stats.totals.goalEfficiency","home.stats.totals.goals","home.stats.totals.handballs","home.stats.totals.hitouts","home.stats.totals.inside50s","home.stats.totals.intercepts","home.stats.totals.interchangeCounts.interchangeCap","home.stats.totals.interchangeCounts.interchangeCountQ1","home.stats.totals.interchangeCounts.interchangeCountQ2","home.stats.totals.interchangeCounts.interchangeCountQ3","home.stats.totals.interchangeCounts.interchangeCountQ4","home.stats.totals.interchangeCounts.totalInterchangeCount","home.stats.totals.kicks","home.stats.totals.lastUpdated","home.stats.totals.marks","home.stats.totals.marksInside50","home.stats.totals.metresGained","home.stats.totals.onePercenters","home.stats.totals.ranking","home.stats.totals.ratingPoints","home.stats.totals.rebound50s","home.stats.totals.scoreInvolvements","home.stats.totals.shotEfficiency","home.stats.totals.shotsAtGoal","home.stats.totals.superGoals","home.stats.totals.tackles","home.stats.totals.tacklesInside50","home.stats.totals.totalPossessions","home.stats.totals.turnovers","home.stats.totals.uncontestedPossessions","home.team.teamAbbr","home.team.teamId","home.team.teamName","home.team.teamNickname"
9,11,44,18,25,43,10,145,72.4,344,1564,NA,24,27,62.1,8,29,18,120,38,62,66,0,0,0,0,0,0,224,2018-01-29 22:44:25,82,7,NA,42,NA,NA,36,NA,46.8,29,NA,74,23,340,75,195,"ESS","CD_T50","Essendon","Bombers",16,4,50,9,25,34,15,155,64.6,311,1256,NA,27,24,45.8,7,22.9,11,123,44,48,75,0,0,0,0,0,0,188,2018-01-29 22:44:25,63,8,NA,45,NA,NA,44,NA,50,24,NA,47,9,301,66,146,"ADEL","CD_T10","Adelaide Crows","Crows"
14,11,46,9,34,43,16,153,63.7,289,1355,NA,20,25,47.8,5,28.9,11,110,47,38,65,0,0,0,0,0,0,179,2018-01-29 22:44:29,58,8,NA,50,NA,NA,45,NA,60.5,23,NA,83,15,291,67,138,"WCE","CD_T150","West Coast Eagles","Eagles",12,8,44,17,19,36,10,152,67.2,335,1521,NA,25,20,51.6,8,26.2,16,129,35,61,67,0,0,0,0,0,0,206,2018-01-29 22:44:29,87,11,NA,52,NA,NA,26,NA,50.8,31,NA,74,12,340,65,188,"FRE","CD_T60","Fremantle","Freo"
22,13,42,18,24,42,14,158,69.9,342,1372,NA,18,20,40,8,23.3,14,130,37,60,70,0,0,0,0,0,0,212,2018-01-29 22:44:35,69,8,NA,44,NA,NA,44,NA,58.3,35,NA,40,9,341,66,183,"RICH","CD_T120","Richmond","Tigers",17,7,49,10,23,33,12,155,70.9,347,1382,NA,20,18,40,9,24.1,14,149,34,58,66,0,0,0,0,0,0,198,2018-01-29 22:44:35,67,16,NA,55,NA,NA,43,NA,60.3,35,NA,49,4,349,69,194,"CARL","CD_T30","Carlton","Blues"
17,10,50,8,26,34,7,136,66.8,304,1274,NA,25,26,30.4,5,14.9,7,136,34,47,69,0,0,0,0,0,0,168,2018-01-29 22:44:37,54,11,NA,50,NA,NA,36,NA,48.9,23,NA,73,4,301,69,165,"BL","CD_T20","Brisbane Lions","Lions",13,6,43,17,25,42,11,146,76.3,380,1750,NA,26,25,61.3,13,34.5,19,135,39,55,69,0,0,0,0,0,0,245,2018-01-29 22:44:37,116,13,NA,58,NA,NA,40,NA,56.4,31,NA,71,11,385,69,239,"WB","CD_T140","Western Bulldogs","Bulldogs"
10,7,51,10,32,42,17,176,68.1,361,1529,NA,22,25,50,8,33.3,16,154,49,48,73,0,0,0,0,0,0,207,2018-01-29 22:44:43,70,8,NA,51,NA,NA,39,NA,66.7,32,NA,69,14,363,69,187,"SYD","CD_T160","Sydney Swans","Swans",10,5,48,19,25,44,6,156,66.8,346,1413,NA,25,22,42.3,5,22,11,139,36,50,69,0,0,0,0,0,0,207,2018-01-29 22:44:43,81,5,NA,39,NA,NA,31,NA,52,26,NA,53,12,345,73,189,"GWS","CD_T1010","GWS Giants","Giants"
17,11,46,11,19,30,10,139,77.5,355,1521,NA,15,23,43.5,9,16.9,10,129,40,59,75,0,0,0,0,0,0,226,2018-01-29 22:44:46,98,12,NA,55,NA,NA,36,NA,39,23,NA,49,7,362,70,223,"STK","CD_T130","St Kilda","Saints",12,9,57,15,25,40,11,145,69.3,335,1375,NA,23,15,50,9,26,13,133,32,50,70,0,0,0,0,0,0,202,2018-01-29 22:44:46,73,6,NA,67,NA,NA,48,NA,52,26,NA,54,3,324,75,179,"GCFC","CD_T1000","Gold Coast Suns","Suns"
19,6,47,16,27,43,12,140,72.4,377,1630,NA,27,24,52.8,14,30.6,19,151,32,62,65,0,0,0,0,0,0,226,2018-01-29 22:44:52,98,18,NA,39,NA,NA,32,NA,58.1,36,NA,62,8,372,50,232,"PORT","CD_T110","Port Adelaide","Power",6,9,54,9,25,34,11,122,73,296,1247,NA,24,27,50,6,19.5,8,126,41,41,50,0,0,0,0,0,0,170,2018-01-29 22:44:52,73,9,NA,49,NA,NA,43,NA,39,16,NA,54,9,296,65,174,"MELB","CD_T90","Melbourne","Demons"
13,5,46,9,23,32,15,142,71.6,327,1450,NA,23,22,51.7,11,28.8,15,117,26,52,70,0,0,0,0,0,0,210,2018-01-29 22:44:54,92,14,NA,43,NA,NA,38,NA,55.8,29,NA,57,10,326,63,184,"COLL","CD_T40","Collingwood","Magpies",9,4,45,17,26,43,7,137,71.7,353,1378,NA,22,23,48.1,9,24.5,13,144,44,53,65,0,0,0,0,0,0,209,2018-01-29 22:44:54,73,7,NA,41,NA,NA,37,NA,50.9,27,NA,39,7,348,71,211,"NMFC","CD_T100","North Melbourne","Kangaroos"
15,7,57,9,15,24,15,144,73,371,1541,NA,27,17,44.8,9,22.8,13,164,28,57,83,0,0,0,0,0,0,207,2018-01-29 22:45:00,97,11,NA,43,NA,NA,51,NA,50.9,29,NA,61,8,369,76,225,"GEEL","CD_T70","Geelong Cats","Cats",14,13,50,18,19,37,5,157,74.1,405,1578,NA,17,27,41.4,10,18.2,12,189,32,66,76,0,0,0,0,0,0,216,2018-01-29 22:45:00,82,13,NA,56,NA,NA,44,NA,43.9,29,NA,53,13,402,81,245,"HAW","CD_T80","Hawthorn","Hawks"
15,16,44,9,22,31,13,136,68.8,359,1481,NA,15,23,46.7,8,25,14,147,31,56,76,0,0,0,0,0,0,212,2018-01-29 22:45:04,93,8,NA,46,NA,NA,38,NA,53.6,30,NA,41,13,359,69,223,"RICH","CD_T120","Richmond","Tigers",10,9,61,19,15,34,13,130,69.1,350,1464,NA,23,15,52.2,9,23.1,12,145,29,52,69,0,0,0,0,0,0,205,2018-01-29 22:45:04,94,13,NA,42,NA,NA,41,NA,44.2,23,NA,55,9,349,75,219,"STK","CD_T130","St Kilda","Saints"
