"away.stats.totals.behinds","away.stats.totals.bounces","away.stats.totals.clangers","away.stats.totals.clearances.centreClearances","away.stats.totals.clearances.stoppageClearances","away.stats.totals.clearances.totalClearances","away.stats.totals.contestedMarks","away.stats.totals.contestedPossessions","away.stats.totals.disposalEfficiency","away.stats.totals.disposals","away.stats.totals.dreamTeamPoints","away.stats.totals.extendedStats","away.stats.totals.freesAgainst","away.stats.totals.freesFor","away.stats.totals.goalAccuracy","away.stats.totals.goalAssists","away.stats.totals.goalEfficiency","away.stats.totals.goals","away.stats.totals.handballs","away.stats.totals.hitouts","away.stats.totals.inside50s","away.stats.totals.intercepts","away.stats.totals.interchangeCounts.interchangeCap","away.stats.totals.interchangeCounts.interchangeCountQ1","away.stats.totals.interchangeCounts.interchangeCountQ2","away.stats.totals.interchangeCounts.interchangeCountQ3","away.stats.totals.interchangeCounts.interchangeCountQ4","away.stats.totals.interchangeCounts.totalInterchangeCount","away.stats.totals.kicks","away.stats.totals.lastUpdated","away.stats.totals.marks","away.stats.totals.marksInside50","away.stats.totals.metresGained","away.stats.totals.onePercenters","away.stats.totals.ranking","away.stats.totals.ratingPoints","away.stats.totals.rebound50s","away.stats.totals.scoreInvolvements","away.stats.totals.shotEfficiency","away.stats.totals.shotsAtGoal","away.stats.totals.superGoals","away.stats.totals.tackles","away.stats.totals.tacklesInside50","away.stats.totals.totalPossessions","away.stats.totals.turnovers","away.stats.totals.uncontestedPossessions","away.team.teamAbbr","away.team.teamId","away.team.teamName","away.team.teamNickname","home.stats.totals.behinds","home.stats.totals.bounces","home.stats.totals.clangers","home.stats.totals.clearances.centreClearances","home.stats.totals.clearances.stoppageClearances","home.stats.totals.clearances.totalClearances","home.stats.totals.contestedMarks","home.stats.totals.contestedPossessions","home.stats.totals.disposalEfficiency","home.stats.totals.disposals","home.stats.totals.dreamTeamPoints","home.stats.totals.extendedStats","home.stats.totals.freesAgainst","home.stats.totals.freesFor","home.stats.totals.goalAccuracy","home.stats.totals.goalAssists","home.stats.totals.goalEfficiency","home.stats.totals.goals","home.stats.totals.handballs","home.stats.totals.hitouts","home.stats.totals.inside50s","home.stats.totals.intercepts","home.stats.totals.interchangeCounts.interchangeCap","home.stats.totals.interchangeCounts.interchangeCountQ1","home.stats.totals.interchangeCounts.interchangeCountQ2","home.stats.totals.interchangeCounts.interchangeCountQ3","home.stats.totals.interchangeCounts.interchangeCountQ4","home.stats.totals.interchangeCounts.totalInterchangeCount","home.stats.totals.kicks","home.stats.totals.lastUpdated","home.stats.totals.marks","home.stats.totals.marksInside50","home.stats.totals.metresGained","home.stats.totals.onePercenters","home.stats.totals.ranking","home.stats.totals.ratingPoints","home.stats.totals.rebound50s","home.stats.totals.scoreInvolvements","home.stats.totals.shotEfficiency","home.stats.totals.shotsAtGoal","home.stats.totals.superGoals","home.stats.totals.tackles","home.stats.totals.tacklesInside50","home.stats.totals.totalPossessions","home.stats.totals.turnovers","home.stats.totals.uncontestedPossessions","home.team.teamAbbr","home.team.teamId","home.team.teamName","home.team.teamNickname"
12,18,46,12,32,44,3,123,66.9,314,1370,NA,16,11,54.2,11,26.5,13,109,51,49,54,120,26,29,22,28,105,205,2018-01-25 00:34:57,83,11,NA,60,NA,NA,38,NA,49,24,NA,46,8,307,65,184,"HAW","CD_T80","Hawthorn","Hawks",14,3,36,16,23,39,7,129,78.8,411,1834,NA,11,16,46.2,7,23.5,12,162,40,51,65,120,24,24,24,27,99,249,2018-01-25 00:34:57,130,7,NA,47,NA,NA,36,NA,51,26,NA,66,19,411,54,282,"ESS","CD_T50","Essendon","Bombers"
10,19,43,13,24,37,5,141,69.5,354,1524,NA,15,16,44.8,7,25,13,157,56,52,64,120,26,27,32,30,115,197,2018-01-25 00:35:02,76,7,NA,50,NA,NA,35,NA,55.8,29,NA,69,13,345,62,204,"GWS","CD_T1010","GWS Giants","Giants",5,8,61,14,26,40,17,147,73,367,1693,NA,16,15,71.4,10,30,15,141,30,50,62,120,24,28,24,31,107,226,2018-01-25 00:35:02,115,15,NA,45,NA,NA,38,NA,42,21,NA,74,12,371,64,224,"STK","CD_T130","St Kilda","Saints"
7,17,45,17,18,35,7,128,73.5,362,1565,NA,17,24,50,8,19.6,11,155,38,56,55,120,30,29,28,32,119,207,2018-01-25 00:37:30,94,11,NA,49,NA,NA,33,NA,39.3,22,NA,67,11,354,72,226,"ADEL","CD_T10","Adelaide Crows","Crows",13,29,46,13,18,31,8,154,71.8,369,1622,NA,24,17,54.3,11,36.5,19,139,32,52,72,120,32,22,20,27,101,230,2018-01-25 00:37:30,90,14,NA,60,NA,NA,45,NA,67.3,35,NA,70,8,369,55,215,"PORT","CD_T110","Port Adelaide","Power"
9,0,61,12,37,49,5,169,57.7,312,1339,NA,18,25,29.4,2,10.9,5,129,19,46,72,120,24,28,26,27,105,183,2018-01-25 00:35:10,45,3,NA,68,NA,NA,48,NA,37,17,NA,92,10,307,89,138,"GCFC","CD_T1000","Gold Coast Suns","Suns",15,2,60,9,34,43,8,183,60.2,357,1517,NA,25,18,42.9,6,19.7,12,142,69,61,90,120,32,30,27,30,119,215,2018-01-25 00:35:10,63,9,NA,59,NA,NA,40,NA,45.9,28,NA,75,13,349,72,166,"FRE","CD_T60","Fremantle","Freo"
17,6,50,10,28,38,7,146,67,352,1524,NA,18,15,46.2,7,24,12,143,37,50,82,120,26,32,27,27,112,209,2018-01-25 00:37:39,88,10,NA,42,NA,NA,38,NA,52,26,NA,65,6,346,71,200,"COLL","CD_T40","Collingwood","Magpies",9,8,52,13,28,41,11,141,71.2,371,1573,NA,15,18,38.5,6,20,10,164,43,50,71,120,31,34,27,25,117,207,2018-01-25 00:37:39,81,10,NA,58,NA,NA,37,NA,52,26,NA,74,9,361,82,220,"SYD","CD_T160","Sydney Swans","Swans"
15,0,48,13,26,39,5,153,65,326,1502,NA,24,13,44.8,9,24.5,13,139,55,53,72,120,25,25,25,26,101,187,2018-01-25 00:35:19,70,13,NA,60,NA,NA,33,NA,54.7,29,NA,91,18,324,66,171,"GEEL","CD_T70","Geelong Cats","Cats",8,10,38,12,34,46,4,152,62.5,328,1500,NA,13,24,45.5,7,22.7,10,133,38,44,66,120,20,26,25,24,95,195,2018-01-25 00:35:19,78,9,NA,59,NA,NA,38,NA,50,22,NA,81,6,330,72,178,"BL","CD_T20","Brisbane Lions","Lions"
15,21,36,13,25,38,6,129,74.9,386,1620,NA,20,17,56.3,12,34,18,170,46,53,62,120,22,24,26,26,98,216,2018-01-25 00:37:47,94,7,NA,47,NA,NA,35,NA,60.4,32,NA,56,12,384,61,255,"WCE","CD_T150","West Coast Eagles","Eagles",6,5,46,9,22,31,5,130,72.1,391,1651,NA,17,20,36.4,4,10.3,4,169,31,39,61,120,24,23,19,21,87,222,2018-01-25 00:37:47,123,9,NA,51,NA,NA,34,NA,28.2,11,NA,62,10,390,62,260,"MELB","CD_T90","Melbourne","Demons"
11,19,35,10,26,36,11,127,73.4,364,1589,NA,13,11,48,9,27.3,12,151,42,44,57,120,29,27,30,29,115,213,2018-01-25 00:35:28,97,14,NA,30,NA,NA,32,NA,56.8,25,NA,65,6,355,50,228,"NMFC","CD_T100","North Melbourne","Kangaroos",6,6,36,7,25,32,11,123,75.4,346,1450,NA,11,13,44.4,4,19,8,160,45,42,50,120,23,29,32,26,110,186,2018-01-25 00:35:28,83,7,NA,48,NA,NA,31,NA,42.9,18,NA,61,16,341,57,218,"WB","CD_T140","Western Bulldogs","Bulldogs"
13,2,39,16,20,36,9,127,72,311,1294,NA,15,10,44,8,22.4,11,124,47,49,52,120,32,33,24,28,117,187,2018-01-25 00:37:56,66,13,NA,39,NA,NA,32,NA,51,25,NA,49,2,302,55,175,"FRE","CD_T60","Fremantle","Freo",11,6,46,16,25,41,9,154,77.8,492,1966,NA,10,15,60,9,38.9,21,206,32,54,55,120,28,28,25,29,110,286,2018-01-25 00:37:56,130,10,NA,71,NA,NA,37,NA,64.8,35,NA,38,3,485,52,331,"HAW","CD_T80","Hawthorn","Hawks"
8,5,41,15,31,46,14,129,69,306,1467,NA,21,21,53.6,11,31.9,15,126,52,47,42,120,29,21,28,20,108,180,2018-01-25 00:35:36,85,18,NA,54,NA,NA,29,NA,59.6,28,NA,78,17,301,47,172,"RICH","CD_T120","Richmond","Tigers",10,11,39,14,31,45,5,127,73.8,313,1487,NA,21,21,55.6,14,34.1,15,133,57,44,47,120,30,26,25,24,106,180,2018-01-25 00:35:36,78,11,NA,33,NA,NA,32,NA,61.4,27,NA,83,13,311,42,184,"WB","CD_T140","Western Bulldogs","Bulldogs"
8,15,33,16,22,38,10,133,75.5,347,1524,NA,13,15,77.8,19,46.7,21,155,45,45,56,120,31,28,33,24,116,192,2018-01-25 00:38:04,77,13,NA,49,NA,NA,41,NA,60,27,NA,63,4,345,54,212,"SYD","CD_T160","Sydney Swans","Swans",17,7,36,16,26,42,12,135,73.3,374,1572,NA,15,13,27.3,3,17,9,162,41,53,54,120,31,30,28,20,109,212,2018-01-25 00:38:04,96,10,NA,50,NA,NA,24,NA,62.3,33,NA,61,10,375,56,240,"ADEL","CD_T10","Adelaide Crows","Crows"
7,13,47,13,27,40,7,136,69.3,358,1538,NA,17,17,50,7,22,9,157,54,41,72,120,22,27,34,20,103,201,2018-01-25 00:38:09,92,5,NA,68,NA,NA,42,NA,43.9,18,NA,66,6,349,71,213,"BL","CD_T20","Brisbane Lions","Lions",12,5,54,16,35,51,7,171,69.3,387,1575,NA,17,17,54.8,12,28.8,17,175,44,59,72,120,18,42,29,28,117,212,2018-01-25 00:38:09,67,8,NA,65,NA,NA,30,NA,52.5,31,NA,66,16,391,72,220,"GCFC","CD_T1000","Gold Coast Suns","Suns"
10,5,54,10,33,43,10,147,66.7,345,1441,NA,19,17,40,6,21.1,8,166,29,38,57,120,22,27,25,25,99,179,2018-01-25 00:35:49,71,8,NA,35,NA,NA,31,NA,52.6,20,NA,78,11,346,63,199,"STK","CD_T130","St Kilda","Saints",11,14,43,9,27,36,10,137,67.1,328,1503,NA,17,19,42.9,10,27.3,12,133,60,44,66,120,26,23,30,29,108,195,2018-01-25 00:35:49,91,13,NA,49,NA,NA,30,NA,63.6,28,NA,67,19,326,57,189,"WCE","CD_T150","West Coast Eagles","Eagles"
15,0,53,12,21,33,9,138,72.5,371,1581,NA,14,15,38.7,9,21.4,12,165,34,56,76,120,25,25,22,28,100,206,2018-01-25 00:38:18,93,15,NA,47,NA,NA,30,NA,55.4,31,NA,65,12,372,73,234,"GEEL","CD_T70","Geelong Cats","Cats",10,8,52,13,19,32,4,129,67.5,342,1503,NA,15,14,50,6,26.2,11,122,31,42,73,120,25,26,25,28,104,220,2018-01-25 00:38:18,101,14,NA,53,NA,NA,44,NA,52.4,22,NA,55,15,336,76,207,"COLL","CD_T40","Collingwood","Magpies"
5,2,53,5,31,36,7,154,61.5,314,1283,NA,20,23,53.8,2,17.9,7,133,37,39,75,120,28,25,30,19,102,181,2018-01-25 00:35:58,49,7,NA,74,NA,NA,49,NA,33.3,13,NA,70,9,303,77,149,"MELB","CD_T90","Melbourne","Demons",19,9,59,11,50,61,2,163,65.8,351,1660,NA,23,20,31.3,3,16.9,10,136,79,59,78,120,26,27,31,33,117,215,2018-01-25 00:35:58,58,8,NA,58,NA,NA,31,NA,54.2,32,NA,115,16,347,74,184,"GWS","CD_T1010","GWS Giants","Giants"
12,11,36,14,21,35,5,135,72.7,363,1528,NA,17,15,52,9,22.8,13,167,40,57,61,120,26,25,23,25,99,196,2018-01-25 00:38:26,76,12,NA,51,NA,NA,37,NA,43.9,25,NA,71,9,359,56,224,"PORT","CD_T110","Port Adelaide","Power",13,13,44,15,35,50,9,143,74.2,419,1833,NA,15,17,46.7,9,27.5,14,191,42,51,56,120,30,27,24,21,102,228,2018-01-25 00:38:26,108,8,NA,44,NA,NA,41,NA,58.8,30,NA,83,13,419,61,276,"NMFC","CD_T100","North Melbourne","Kangaroos"
9,12,41,11,30,41,3,123,69.4,317,1361,NA,14,15,50,7,27.6,8,137,58,29,46,120,27,26,33,28,114,180,2018-01-25 00:36:06,77,7,NA,49,NA,NA,33,NA,55.2,16,NA,57,3,318,60,195,"CARL","CD_T30","Carlton","Blues",12,3,30,16,25,41,8,125,79.1,446,1949,NA,15,14,63.6,17,38.2,21,178,28,55,60,120,29,32,25,30,116,268,2018-01-25 00:36:06,150,21,NA,39,NA,NA,21,NA,60,33,NA,51,5,443,46,318,"ESS","CD_T50","Essendon","Bombers"
14,5,48,12,26,38,5,148,65.2,336,1506,NA,21,14,50,13,29.6,16,138,36,54,78,120,29,24,27,30,110,198,2018-01-25 00:38:35,73,15,NA,52,NA,NA,37,NA,59.3,32,NA,80,12,334,66,186,"COLL","CD_T40","Collingwood","Magpies",12,1,49,18,28,46,4,152,66.4,333,1442,NA,14,21,43.5,6,21.3,10,141,40,47,66,120,26,23,26,30,105,192,2018-01-25 00:38:35,63,5,NA,44,NA,NA,36,NA,48.9,23,NA,76,18,328,78,176,"RICH","CD_T120","Richmond","Tigers"
9,3,45,6,19,25,12,123,76.8,323,1529,NA,18,24,54.5,9,26.7,12,122,34,45,59,120,32,30,26,23,111,201,2018-01-25 00:36:15,87,11,NA,49,NA,NA,40,NA,48.9,22,NA,84,4,314,52,191,"MELB","CD_T90","Melbourne","Demons",16,26,50,11,28,39,9,135,69.8,374,1571,NA,24,18,25,5,14.9,7,153,41,47,53,120,32,27,27,19,105,221,2018-01-25 00:36:15,99,3,NA,62,NA,NA,33,NA,59.6,28,NA,65,13,373,58,238,"CARL","CD_T30","Carlton","Blues"
4,3,49,13,18,31,1,104,73.3,333,1409,NA,21,20,53.8,5,25,7,162,31,28,48,120,30,21,22,17,90,171,2018-01-25 00:38:43,82,4,NA,43,NA,NA,39,NA,46.4,13,NA,73,5,330,62,226,"BL","CD_T20","Brisbane Lions","Lions",15,11,53,14,22,36,17,148,75.8,447,1979,NA,20,21,58.5,22,38.1,24,204,45,63,62,120,28,34,26,25,113,243,2018-01-25 00:38:43,127,28,NA,46,NA,NA,20,NA,65.1,41,NA,74,14,443,48,295,"PORT","CD_T110","Port Adelaide","Power"
8,10,32,12,19,31,7,144,75.7,404,1704,NA,19,14,63,10,34,17,170,34,50,78,120,30,24,34,29,117,234,2018-01-25 00:38:48,115,10,NA,42,NA,NA,44,NA,54,27,NA,54,9,403,73,259,"WB","CD_T140","Western Bulldogs","Bulldogs",11,14,42,15,22,37,11,146,68.1,335,1431,NA,14,19,50,7,20.7,12,145,42,58,73,120,29,28,27,26,110,190,2018-01-25 00:38:48,67,7,NA,47,NA,NA,33,NA,41.4,24,NA,67,10,326,78,180,"GWS","CD_T1010","GWS Giants","Giants"
8,5,54,7,20,27,3,130,65,314,1182,NA,20,11,21.1,4,12.5,4,138,33,32,72,120,26,24,19,20,89,176,2018-01-25 00:36:28,58,4,NA,52,NA,NA,45,NA,59.4,19,NA,47,8,309,79,179,"WCE","CD_T150","West Coast Eagles","Eagles",11,10,48,13,18,31,13,150,72.8,427,1938,NA,11,20,45.7,12,25.8,16,165,25,62,79,120,29,23,21,31,104,262,2018-01-25 00:36:28,137,21,NA,57,NA,NA,28,NA,56.5,35,NA,73,19,428,72,278,"GEEL","CD_T70","Geelong Cats","Cats"
10,10,48,14,29,43,3,175,72.5,465,1886,NA,15,19,65.7,13,33.3,23,195,44,69,89,120,31,25,26,31,113,270,2018-01-25 00:38:56,104,10,NA,72,NA,NA,45,NA,50.7,35,NA,52,5,462,72,287,"HAW","CD_T80","Hawthorn","Hawks",7,6,60,18,21,39,7,144,69.4,340,1341,NA,19,15,43.8,3,13.2,7,150,34,53,72,120,36,27,24,21,108,190,2018-01-25 00:38:56,62,3,NA,71,NA,NA,46,NA,30.2,16,NA,61,9,334,88,190,"GCFC","CD_T1000","Gold Coast Suns","Suns"
13,5,53,8,38,46,8,172,68.6,389,1691,NA,17,18,48.1,4,27.1,13,151,47,48,92,120,25,26,23,36,110,238,2018-01-25 00:36:36,74,4,NA,76,NA,NA,59,NA,56.3,27,NA,87,13,380,85,208,"NMFC","CD_T100","North Melbourne","Kangaroos",12,1,56,14,31,45,10,163,59.4,350,1466,NA,18,17,33.3,4,9.1,6,136,44,66,85,120,29,27,22,35,113,214,2018-01-25 00:36:36,63,12,NA,60,NA,NA,35,NA,27.3,18,NA,77,10,335,92,172,"SYD","CD_T160","Sydney Swans","Swans"
16,19,34,14,22,36,12,126,77.4,421,1894,NA,9,9,55.6,18,37.7,20,179,43,53,61,120,30,31,30,28,119,242,2018-01-25 00:39:05,127,17,NA,38,NA,NA,41,NA,67.9,36,NA,67,17,416,48,290,"ADEL","CD_T10","Adelaide Crows","Crows",8,12,40,16,22,38,4,126,67.1,337,1386,NA,9,9,38.9,5,14.6,7,152,30,48,48,120,31,23,29,24,107,185,2018-01-25 00:39:05,79,8,NA,49,NA,NA,33,NA,37.5,18,NA,57,7,330,61,204,"STK","CD_T130","St Kilda","Saints"
6,7,44,12,18,30,11,134,75.1,390,1581,NA,18,6,52.9,7,30,9,183,14,30,67,120,33,28,27,29,117,207,2018-01-25 00:39:09,108,11,NA,39,NA,NA,25,NA,56.7,17,NA,61,2,394,67,260,"ESS","CD_T50","Essendon","Bombers",5,13,37,13,27,40,8,146,74,392,1737,NA,6,18,62.1,11,40,18,155,63,45,67,120,27,32,37,24,120,237,2018-01-25 00:39:09,104,7,NA,30,NA,NA,21,NA,64.4,29,NA,57,10,385,67,239,"FRE","CD_T60","Fremantle","Freo"
16,1,48,13,32,45,10,125,75.5,372,1774,NA,16,20,42.9,12,25.9,15,144,66,58,61,120,28,28,30,26,112,228,2018-01-25 00:36:50,106,15,NA,43,NA,NA,28,NA,60.3,35,NA,85,17,354,53,229,"RICH","CD_T120","Richmond","Tigers",9,13,49,13,28,41,8,119,70.9,344,1315,NA,20,16,50,4,23.1,9,170,38,39,54,120,27,29,39,23,118,174,2018-01-25 00:36:50,68,6,NA,46,NA,NA,42,NA,46.2,18,NA,48,6,334,60,215,"BL","CD_T20","Brisbane Lions","Lions"
10,12,51,10,21,31,9,115,73.1,379,1474,NA,11,8,42.1,4,20,8,187,29,40,69,120,26,22,19,24,91,192,2018-01-25 00:39:18,86,7,NA,48,NA,NA,45,NA,47.5,19,NA,51,11,368,83,253,"NMFC","CD_T100","North Melbourne","Kangaroos",15,5,49,13,14,27,15,136,71.5,411,1810,NA,8,11,39.4,6,22.4,13,163,20,58,83,120,27,30,23,26,106,248,2018-01-25 00:39:18,128,22,NA,53,NA,NA,31,NA,56.9,33,NA,64,12,407,69,271,"COLL","CD_T40","Collingwood","Magpies"
9,8,47,12,31,43,11,144,69.5,351,1534,NA,16,20,50,6,22.9,11,147,65,48,65,120,30,28,35,27,120,204,2018-01-25 00:36:59,84,6,NA,36,NA,NA,31,NA,45.8,22,NA,66,15,358,76,214,"FRE","CD_T60","Fremantle","Freo",14,2,43,10,21,31,4,145,70.1,398,1718,NA,20,16,48.1,10,28.9,13,194,19,45,77,120,29,30,37,19,115,204,2018-01-25 00:36:59,81,10,NA,38,NA,NA,37,NA,60,27,NA,102,8,394,65,249,"SYD","CD_T160","Sydney Swans","Swans"
