"away.stats.totals.behinds","away.stats.totals.bounces","away.stats.totals.clangers","away.stats.totals.clearances.centreClearances","away.stats.totals.clearances.stoppageClearances","away.stats.totals.clearances.totalClearances","away.stats.totals.contestedMarks","away.stats.totals.contestedPossessions","away.stats.totals.disposalEfficiency","away.stats.totals.disposals","away.stats.totals.dreamTeamPoints","away.stats.totals.extendedStats","away.stats.totals.freesAgainst","away.stats.totals.freesFor","away.stats.totals.goalAccuracy","away.stats.totals.goalAssists","away.stats.totals.goalEfficiency","away.stats.totals.goals","away.stats.totals.handballs","away.stats.totals.hitouts","away.stats.totals.inside50s","away.stats.totals.intercepts","away.stats.totals.interchangeCounts.interchangeCap","away.stats.totals.interchangeCounts.interchangeCountQ1","away.stats.totals.interchangeCounts.interchangeCountQ2","away.stats.totals.interchangeCounts.interchangeCountQ3","away.stats.totals.interchangeCounts.interchangeCountQ4","away.stats.totals.interchangeCounts.totalInterchangeCount","away.stats.totals.kicks","away.stats.totals.lastUpdated","away.stats.totals.marks","away.stats.totals.marksInside50","away.stats.totals.metresGained","away.stats.totals.onePercenters","away.stats.totals.ranking","away.stats.totals.ratingPoints","away.stats.totals.rebound50s","away.stats.totals.scoreInvolvements","away.stats.totals.shotEfficiency","away.stats.totals.shotsAtGoal","away.stats.totals.superGoals","away.stats.totals.tackles","away.stats.totals.tacklesInside50","away.stats.totals.totalPossessions","away.stats.totals.turnovers","away.stats.totals.uncontestedPossessions","away.team.teamAbbr","away.team.teamId","away.team.teamName","away.team.teamNickname","home.stats.totals.behinds","home.stats.totals.bounces","home.stats.totals.clangers","home.stats.totals.clearances.centreClearances","home.stats.totals.clearances.stoppageClearances","home.stats.totals.clearances.totalClearances","home.stats.totals.contestedMarks","home.stats.totals.contestedPossessions","home.stats.totals.disposalEfficiency","home.stats.totals.disposals","home.stats.totals.dreamTeamPoints","home.stats.totals.extendedStats","home.stats.totals.freesAgainst","home.stats.totals.freesFor","home.stats.totals.goalAccuracy","home.stats.totals.goalAssists","home.stats.totals.goalEfficiency","home.stats.totals.goals","home.stats.totals.handballs","home.stats.totals.hitouts","home.stats.totals.inside50s","home.stats.totals.intercepts","home.stats.totals.interchangeCounts.interchangeCap","home.stats.totals.interchangeCounts.interchangeCountQ1","home.stats.totals.interchangeCounts.interchangeCountQ2","home.stats.totals.interchangeCounts.interchangeCountQ3","home.stats.totals.interchangeCounts.interchangeCountQ4","home.stats.totals.interchangeCounts.totalInterchangeCount","home.stats.totals.kicks","home.stats.totals.lastUpdated","home.stats.totals.marks","home.stats.totals.marksInside50","home.stats.totals.metresGained","home.stats.totals.onePercenters","home.stats.totals.ranking","home.stats.totals.ratingPoints","home.stats.totals.rebound50s","home.stats.totals.scoreInvolvements","home.stats.totals.shotEfficiency","home.stats.totals.shotsAtGoal","home.stats.totals.superGoals","home.stats.totals.tackles","home.stats.totals.tacklesInside50","home.stats.totals.totalPossessions","home.stats.totals.turnovers","home.stats.totals.uncontestedPossessions","home.team.teamAbbr","home.team.teamId","home.team.teamName","home.team.teamNickname"
15,29,43,9,18,27,13,121,76.9,355,1491,NA,20,20,48.4,10,27.8,15,155,39,54,65,90,23,29,21,31,104,200,2018-01-24 05:31:21,91,12,NA,39,NA,NA,35,NA,57.4,31,NA,51,10,348,55,227,"RICH","CD_T120","Richmond","Tigers",12,10,45,17,21,38,7,127,71.7,325,1398,NA,20,20,52.4,9,23.9,11,129,34,46,55,90,25,27,25,30,107,196,2018-01-24 05:31:21,84,11,NA,42,NA,NA,38,NA,45.7,21,NA,57,7,326,64,199,"CARL","CD_T30","Carlton","Blues"
11,6,50,16,26,42,11,136,67.4,301,1338,NA,21,16,54.2,7,27.7,13,104,45,47,59,90,26,21,20,24,91,197,2018-01-24 05:29:37,80,16,NA,45,NA,NA,35,NA,51.1,24,NA,53,11,301,68,165,"GCFC","CD_T1000","Gold Coast Suns","Suns",13,3,41,17,18,35,16,150,70.9,347,1595,NA,16,21,54.8,10,32.7,17,126,34,52,68,90,27,26,31,31,115,221,2018-01-24 05:29:37,98,11,NA,37,NA,NA,33,NA,59.6,31,NA,66,9,348,59,198,"MELB","CD_T90","Melbourne","Demons"
6,3,56,9,44,53,2,150,66.7,339,1444,NA,24,25,56.3,6,20.5,9,122,48,44,79,90,29,24,29,19,101,217,2018-01-24 05:31:30,60,2,NA,50,NA,NA,48,NA,36.4,16,NA,77,10,321,77,171,"ESS","CD_T50","Essendon","Bombers",12,2,57,11,44,55,6,176,66.3,374,1473,NA,25,24,43.5,7,16.7,10,170,66,60,77,90,26,21,33,19,99,204,2018-01-24 05:31:30,50,5,NA,52,NA,NA,34,NA,38.3,23,NA,71,5,368,79,192,"SYD","CD_T160","Sydney Swans","Swans"
14,2,54,10,31,41,12,165,66.8,346,1425,NA,21,17,37.5,10,19.7,12,149,36,61,72,90,28,33,26,25,112,197,2018-01-24 05:29:46,52,17,NA,53,NA,NA,36,NA,52.5,32,NA,76,9,344,73,179,"COLL","CD_T40","Collingwood","Magpies",8,1,54,17,29,46,8,152,67.9,364,1567,NA,17,21,50,8,22.4,11,149,47,49,74,90,26,24,25,26,101,215,2018-01-24 05:29:46,87,9,NA,51,NA,NA,49,NA,44.9,22,NA,68,13,363,72,211,"BL","CD_T20","Brisbane Lions","Lions"
3,13,45,14,18,32,7,137,73.2,380,1609,NA,20,19,82.4,12,34.1,14,192,47,41,58,90,21,24,32,33,110,188,2018-01-24 05:31:39,88,10,NA,42,NA,NA,43,NA,41.5,17,NA,76,12,373,61,236,"WCE","CD_T150","West Coast Eagles","Eagles",13,14,42,14,36,50,5,156,73.9,372,1661,NA,19,20,43.8,3,24.1,14,164,36,58,61,90,25,26,29,36,116,208,2018-01-24 05:31:39,79,10,NA,40,NA,NA,27,NA,55.2,32,NA,94,25,370,58,214,"WB","CD_T140","Western Bulldogs","Bulldogs"
15,12,46,12,22,34,13,122,75.9,353,1432,NA,20,25,46.2,8,22.2,12,166,43,54,65,90,25,22,24,24,95,187,2018-01-24 05:31:43,92,10,NA,51,NA,NA,41,NA,48.1,26,NA,42,5,354,62,232,"GWS","CD_T1010","GWS Giants","Giants",12,10,51,9,28,37,13,128,73.8,332,1399,NA,25,20,55,8,21.2,11,133,29,52,62,90,28,29,25,25,107,199,2018-01-24 05:31:43,96,11,NA,41,NA,NA,41,NA,38.5,20,NA,49,6,342,64,214,"STK","CD_T130","St Kilda","Saints"
9,14,48,11,15,26,9,115,70.9,316,1293,NA,16,17,50,6,19.1,9,144,41,47,68,90,27,26,23,24,100,172,2018-01-24 05:29:58,72,6,NA,30,NA,NA,41,NA,38.3,18,NA,50,8,305,70,190,"NMFC","CD_T100","North Melbourne","Kangaroos",14,19,50,18,23,41,13,142,74.3,366,1680,NA,17,16,60,16,33.3,21,125,32,63,70,90,28,27,22,23,100,241,2018-01-24 05:29:58,114,22,NA,43,NA,NA,37,NA,55.6,35,NA,57,6,366,68,224,"ADEL","CD_T10","Adelaide Crows","Crows"
8,11,53,6,24,30,6,112,79,390,1712,NA,27,20,47.6,7,23.8,10,166,25,42,62,90,32,21,21,29,103,224,2018-01-24 05:30:03,128,10,NA,45,NA,NA,46,NA,50,21,NA,73,12,396,63,284,"PORT","CD_T110","Port Adelaide","Power",9,6,44,16,25,41,9,138,73.5,366,1408,NA,20,27,57.9,7,19,11,166,51,58,63,90,27,23,25,26,101,200,2018-01-24 05:30:03,73,5,NA,39,NA,NA,32,NA,32.8,19,NA,41,5,368,62,230,"FRE","CD_T60","Fremantle","Freo"
13,5,41,13,12,25,9,114,74.2,345,1455,NA,18,21,32,6,19,8,155,26,42,52,90,27,22,24,22,95,190,2018-01-24 05:31:56,99,13,NA,47,NA,NA,43,NA,59.5,25,NA,56,5,348,65,234,"GEEL","CD_T70","Geelong Cats","Cats",21,16,39,8,25,33,23,144,76.6,367,1695,NA,21,18,48.6,11,28.3,17,131,39,60,64,90,22,28,29,28,107,236,2018-01-24 05:31:56,124,17,NA,42,NA,NA,33,NA,58.3,35,NA,59,14,370,52,226,"HAW","CD_T80","Hawthorn","Hawks"
8,15,42,11,18,29,14,118,73.4,320,1415,NA,19,13,45,7,25.7,9,128,27,35,57,120,31,27,27,24,109,192,NA,102,10,NA,55,NA,NA,28,NA,25.7,20,NA,58,7,325,55,207,"CARL","CD_T30","Carlton","Blues",11,15,34,18,29,47,9,139,76.1,356,1623,NA,13,19,58.8,16,40.8,20,152,59,49,55,120,25,23,33,28,109,204,NA,87,11,NA,48,NA,NA,25,NA,40.8,34,NA,69,11,358,57,219,"WCE","CD_T150","West Coast Eagles","Eagles"
