"providerId","utcStartTime","status","compSeason.shortName","round.name","round.roundNumber","venue.name","home.team.club.name","away.team.club.name","player.jumperNumber","player.photoURL","player.player.position","player.player.player.playerId","player.player.player.captain","player.player.player.playerJumperNumber","player.player.player.givenName","player.player.player.surname","teamId","gamesPlayed","timeOnGroundPercentage","goals","behinds","superGoals","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","freesFor","freesAgainst","dreamTeamPoints","rebound50s","goalAssists","goalAccuracy","ratingPoints","ranking","lastUpdated","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","interchangeCounts","scoreInvolvements","metresGained","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","extendedStats.effectiveKicks","extendedStats.kickEfficiency","extendedStats.kickToHandballRatio","extendedStats.effectiveDisposals","extendedStats.marksOnLead","extendedStats.interceptMarks","extendedStats.contestedPossessionRate","extendedStats.hitoutsToAdvantage","extendedStats.hitoutWinPercentage","extendedStats.hitoutToAdvantageRate","extendedStats.groundBallGets","extendedStats.f50GroundBallGets","extendedStats.scoreLaunches","extendedStats.pressureActs","extendedStats.defHalfPressureActs","extendedStats.spoils","extendedStats.ruckContests","extendedStats.contestDefOneOnOnes","extendedStats.contestDefLosses","extendedStats.contestDefLossPercentage","extendedStats.contestOffOneOnOnes","extendedStats.contestOffWins","extendedStats.contestOffWinsPercentage","extendedStats.centreBounceAttendances","extendedStats.kickins","extendedStats.kickinsPlayon","player.playerId","player.captain","player.playerJumperNumber","player.givenName","player.surname","teamStatus","team.name"
"CD_M20220140101","2022-03-16T08:10:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Melbourne","Western Bulldogs",11,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2022014/290528.png?i10c=img.resize(scale_height:0.6)","RK","CD_I290528",FALSE,11,"Max","Gawn","CD_T90",NA,97,1,0,NA,11,3,14,4,0,1,12,3,15,5,0,2,34,3,57.1,9,2,6,79,2,0,50,10.4,NA,NA,4,4,0,2,NA,NA,NA,8,326,1,3,4,5,45.5,3.7,8,0,1,80,8,64.2,23.5,3,1,5,15,9,3,53,1,0,0,0,0,0,22,0,0,"CD_I290528",FALSE,11,"Max","Gawn","home","Melbourne"
"CD_M20220140101","2022-03-16T08:10:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Melbourne","Western Bulldogs",25,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2022014/291533.png?i10c=img.resize(scale_height:0.6)","CHF","CD_I291533",FALSE,25,"Tom","McDonald","CD_T90",NA,83,0,1,NA,10,2,12,5,0,0,3,8,11,1,0,1,0,4,75,2,1,1,48,5,1,0,6.3,NA,NA,2,3,0,1,NA,NA,NA,2,250,0,0,0,7,70,5,9,0,1,27.3,0,0,0,1,0,1,16,12,4,0,2,0,0,0,0,0,0,0,0,"CD_I291533",FALSE,25,"Tom","McDonald","home","Melbourne"
"CD_M20220140101","2022-03-16T08:10:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Melbourne","Western Bulldogs",20,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2022014/291819.png?i10c=img.resize(scale_height:0.6)","CHB","CD_I291819",FALSE,20,"Adam","Tomlinson","CD_T90",NA,100,0,0,NA,6,2,8,4,0,1,3,6,9,0,0,0,0,4,75,2,0,1,35,1,0,0,2.9,NA,NA,3,3,0,0,NA,NA,NA,0,151,0,0,0,4,66.7,3,6,0,1,33.3,0,0,0,2,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,"CD_I291819",FALSE,20,"Adam","Tomlinson","home","Melbourne"
"CD_M20220140101","2022-03-16T08:10:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Melbourne","Western Bulldogs",7,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2022014/291902.png?i10c=img.resize(scale_height:0.6)","R","CD_I291902",FALSE,7,"Jack","Viney","CD_T90",NA,79,1,0,NA,11,12,23,5,0,4,12,11,23,3,1,0,0,1,69.6,4,2,0,96,2,0,50,11.2,NA,NA,4,7,0,2,NA,NA,NA,5,315,1,3,4,6,54.5,0.9,16,0,1,52.2,0,0,0,9,0,2,24,10,0,0,0,0,0,0,0,0,22,0,0,"CD_I291902",FALSE,7,"Jack","Viney","home","Melbourne"
"CD_M20220140101","2022-03-16T08:10:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Melbourne","Western Bulldogs",4,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2022014/297899.png?i10c=img.resize(scale_height:0.6)","INT","CD_I297899",FALSE,4,"James","Harmes","CD_T90",NA,77,1,0,NA,6,11,17,1,0,5,7,10,17,3,1,1,0,3,82.4,4,2,1,68,1,0,100,10,NA,NA,3,2,2,1,NA,NA,NA,4,163,0,2,2,4,66.7,0.5,14,0,0,41.2,0,0,0,4,0,0,25,8,2,0,0,0,0,1,0,0,4,0,0,"CD_I297899",FALSE,4,"James","Harmes","home","Melbourne"
"CD_M20220140101","2022-03-16T08:10:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Melbourne","Western Bulldogs",6,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2022014/1009399.png?i10c=img.resize(scale_height:0.6)","INT","CD_I1009399",FALSE,6,"Luke","Jackson","CD_T90",NA,86,1,1,NA,3,9,12,5,0,4,8,5,13,1,1,2,10,1,83.3,1,0,1,72,1,0,50,12.1,NA,NA,0,1,1,2,NA,NA,NA,7,166,0,1,1,2,66.7,0.3,10,1,0,61.5,3,40,30,5,1,1,19,7,0,25,0,0,0,3,2,66.7,6,0,0,"CD_I1009399",FALSE,6,"Luke","Jackson","home","Melbourne"
"CD_M20220140101","2022-03-16T08:10:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Melbourne","Western Bulldogs",13,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2022014/996701.png?i10c=img.resize(scale_height:0.6)","C","CD_I996701",FALSE,13,"Clayton","Oliver","CD_T90",NA,81,0,0,NA,19,13,32,6,1,5,15,20,35,4,0,0,0,2,75,12,0,7,100,3,0,0,16.2,NA,NA,8,7,2,1,NA,NA,NA,8,549,3,3,6,14,73.7,1.5,24,0,0,42.9,0,0,0,11,0,4,29,14,1,0,0,0,0,0,0,0,26,0,0,"CD_I996701",FALSE,13,"Clayton","Oliver","home","Melbourne"
"CD_M20220140101","2022-03-16T08:10:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Melbourne","Western Bulldogs",3,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2022014/296359.png?i10c=img.resize(scale_height:0.6)","HBFL","CD_I296359",FALSE,3,"Christian","Salem","CD_T90",NA,13,0,0,NA,0,3,3,0,0,0,1,3,4,0,0,0,0,1,66.7,2,0,1,3,0,0,0,-0.3,NA,NA,2,0,0,0,NA,NA,NA,0,-4,0,0,0,0,0,0,2,0,0,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"CD_I296359",FALSE,3,"Christian","Salem","home","Melbourne"
"CD_M20220140101","2022-03-16T08:10:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Melbourne","Western Bulldogs",9,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2022014/1002282.png?i10c=img.resize(scale_height:0.6)","HFFL","CD_I1002282",FALSE,9,"Charlie","Spargo","CD_T90",NA,63,0,1,NA,8,6,14,2,0,2,5,10,15,4,0,0,0,3,64.3,2,2,1,50,0,0,0,8.2,NA,NA,4,2,0,2,NA,NA,NA,4,174,0,0,0,5,62.5,1.3,9,0,0,33.3,0,0,0,4,1,1,11,5,2,0,0,0,0,1,0,0,0,0,0,"CD_I1002282",FALSE,9,"Charlie","Spargo","home","Melbourne"
"CD_M20220140101","2022-03-16T08:10:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Melbourne","Western Bulldogs",29,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2022014/994385.png?i10c=img.resize(scale_height:0.6)","BPR","CD_I994385",FALSE,29,"Jayden","Hunt","CD_T90",NA,86,0,0,NA,7,4,11,4,0,1,4,7,11,0,0,1,0,2,81.8,2,0,0,45,2,0,0,4.9,NA,NA,2,4,0,0,NA,NA,NA,2,226,0,0,0,5,71.4,1.8,9,0,1,36.4,0,0,0,3,0,1,14,9,2,0,0,0,0,0,0,0,0,0,0,"CD_I994385",FALSE,29,"Jayden","Hunt","home","Melbourne"
